Energy,Value,Error,Lower energy,Upper energy,Angle
0.1 - 1,5.299613046713821e-07,0.002695413278237917,0.1,1.0,66.8 deg
1 - 3.5,1.1314162660015128e-06,0.0020120312667053584,1.0,3.5,66.8 deg
3.5 - 10,1.847083191284413e-06,0.002209224706965933,3.5,10.0,66.8 deg
10 - 20,3.6044256741861363e-06,0.002256024986530265,10.0,20.0,66.8 deg
