Energy,Value,Error,Lower energy,Upper energy,Angle
0.01 - 0.1,1.5423596377852445e-07,0.005387582252424012,0.01,0.1,0 deg
0.1 - 1,3.639607163921508e-06,0.0010915774214033617,0.1,1.0,0 deg
1 - 3.5,6.589062901431477e-06,0.001388517534384117,1.0,3.5,0 deg
3.5 - 10,1.116495330634915e-06,0.006305525525320372,3.5,10.0,0 deg
10 - 20,6.911799201332349e-05,0.0013790278408594948,10.0,20.0,0 deg
