Energy,Value,Error,Angle
8.0316,3.622568843690429e-07,0.0443,24.9 deg
8.23495,4.559196049430588e-07,0.0419,24.9 deg
8.44345,7.189775656718589e-07,0.0311,24.9 deg
8.6572,8.613838785838294e-07,0.0241,24.9 deg
8.87635,1.0101086947705356e-06,0.0208,24.9 deg
9.10105,1.0566392607721956e-06,0.0172,24.9 deg
9.33145,1.137171618496409e-06,0.0179,24.9 deg
9.56765,1.6447441560616187e-06,0.0164,24.9 deg
9.80985,2.099873196604273e-06,0.0157,24.9 deg
10.0582,2.0314872966960553e-06,0.0168,24.9 deg
10.313,1.702469427814165e-06,0.0192,24.9 deg
10.574,1.0138510220627384e-06,0.025,24.9 deg
10.8415,5.778882251044321e-07,0.037,24.9 deg
11.116,3.754412908905088e-07,0.0413,24.9 deg
11.3975,3.723570824577903e-07,0.0423,24.9 deg
11.686,4.365554629941569e-07,0.0385,24.9 deg
11.982,4.695414412630463e-07,0.0367,24.9 deg
12.2855,6.071196047529595e-07,0.0336,24.9 deg
12.5965,8.658765075385778e-07,0.029,24.9 deg
12.915,1.1886860274946227e-06,0.0256,24.9 deg
13.2415,1.5841043649074882e-06,0.0225,24.9 deg
13.577,2.431379847170588e-06,0.0183,24.9 deg
13.921,4.399290609854709e-06,0.0139,24.9 deg
14.2735,7.435801927652082e-06,0.0109,24.9 deg
14.635,8.369833932274058e-06,0.0112,24.9 deg
15.0055,5.0008638857301755e-06,0.0157,24.9 deg
15.385,1.485609812612498e-06,0.0302,24.9 deg
15.7745,2.1553011438257602e-07,0.0893,24.9 deg
16.174,1.804920194571682e-08,0.2321,24.9 deg
16.583,3.757697361062595e-09,0.8733,24.9 deg
17.003,2.019480876120172e-12,1.0,24.9 deg
17.4335,0.0,0.0,24.9 deg
17.8745,0.0,0.0,24.9 deg
18.327,0.0,0.0,24.9 deg
18.791,0.0,0.0,24.9 deg
19.267,0.0,0.0,24.9 deg
19.755,0.0,0.0,24.9 deg
20.243,0.0,0.0,24.9 deg
