Energy,Value,Error,Angle
0.011927,3.080018648443763e-09,0.0184,41.8 deg
0.0125385,2.7365252496134254e-08,0.0569,41.8 deg
0.0131815,3.1232690748283616e-08,0.0546,41.8 deg
0.013857,3.4172673904366526e-08,0.0521,41.8 deg
0.0145675,3.664896761134683e-08,0.0506,41.8 deg
0.0153145,4.1065191751011183e-08,0.0473,41.8 deg
0.0160995,4.819084668820787e-08,0.0425,41.8 deg
0.016925,5.2500816590827076e-08,0.0411,41.8 deg
0.017793,6.27153143067032e-08,0.0362,41.8 deg
0.0187055,7.080913065946415e-08,0.0349,41.8 deg
0.0196645,9.835735114464454e-08,0.0306,41.8 deg
0.0206725,1.0930311449159611e-07,0.0289,41.8 deg
0.021732,1.25422370970631e-07,0.0266,41.8 deg
0.0228465,2.628183766527109e-07,0.0176,41.8 deg
0.024018,5.018076319792058e-07,0.0122,41.8 deg
0.025249,1.368499242167184e-06,0.008,41.8 deg
0.0265435,3.2194865234482e-07,0.0165,41.8 deg
0.0279045,4.640015147435761e-09,0.1261,41.8 deg
0.0293355,1.2210555179961798e-09,0.2433,41.8 deg
0.0308395,5.770316682895906e-09,0.1496,41.8 deg
0.0324205,1.1326982653917029e-08,0.0975,41.8 deg
0.034083,1.939103984995722e-08,0.0771,41.8 deg
0.0358305,2.5437213481485235e-08,0.0654,41.8 deg
0.0376675,3.176136393499793e-08,0.054,41.8 deg
0.039599,4.46582519061671e-08,0.0501,41.8 deg
0.0416295,4.8503370055865224e-08,0.0445,41.8 deg
0.0437635,5.2246714472816854e-08,0.0438,41.8 deg
0.046007,6.866623346731494e-08,0.0378,41.8 deg
0.048366,7.14211595164378e-08,0.0377,41.8 deg
0.050846,8.715418422780406e-08,0.0343,41.8 deg
0.053453,5.641952581339848e-08,0.0422,41.8 deg
0.0561935,6.861249339999765e-08,0.0379,41.8 deg
0.0590745,1.032657784230459e-07,0.0316,41.8 deg
0.0621035,1.080497411326859e-07,0.0303,41.8 deg
0.0652875,1.3606717404564459e-07,0.0268,41.8 deg
0.0686345,2.2309151383785964e-07,0.0213,41.8 deg
0.0721535,3.252949400957556e-07,0.0177,41.8 deg
0.075853,1.1582741166031482e-07,0.0277,41.8 deg
0.079742,1.6608736902743062e-07,0.0247,41.8 deg
0.0838305,8.042742800888867e-07,0.011,41.8 deg
0.088129,2.761397827952226e-08,0.0604,41.8 deg
0.0926475,8.51938565932268e-08,0.0368,41.8 deg
0.0973975,1.1355583890548483e-07,0.0305,41.8 deg
0.102391,1.349026537372447e-07,0.0277,41.8 deg
0.10764,1.8225626509789406e-07,0.0246,41.8 deg
0.11316,2.0094812010222808e-07,0.023,41.8 deg
0.11896,2.6507987936536197e-07,0.0192,41.8 deg
0.12506,4.048088322668097e-07,0.0166,41.8 deg
0.131475,5.81657305312669e-07,0.0125,41.8 deg
0.138215,1.3650513325473903e-06,0.0087,41.8 deg
0.1453,1.5513763415267432e-07,0.0219,41.8 deg
0.15275,1.0807601757051521e-07,0.0322,41.8 deg
0.16058,2.3656090799861752e-07,0.0218,41.8 deg
0.16881,8.622419714419709e-07,0.0106,41.8 deg
0.17747,1.949733569020259e-07,0.0241,41.8 deg
0.18657,9.67108773877628e-07,0.0103,41.8 deg
0.196135,4.106911560505971e-08,0.0507,41.8 deg
0.20619,1.1611189878073061e-07,0.0319,41.8 deg
0.21676,2.610522342517032e-07,0.0207,41.8 deg
0.227875,5.056724415813997e-07,0.0133,41.8 deg
0.23956,2.7962067400981443e-07,0.0207,41.8 deg
0.251845,3.393467312216766e-07,0.0172,41.8 deg
0.264755,3.713984718807268e-07,0.0175,41.8 deg
0.278325,1.1412829314834294e-06,0.0094,41.8 deg
0.292595,2.468904708188164e-07,0.0228,41.8 deg
0.3076,1.0937949228719412e-06,0.0109,41.8 deg
0.32337,1.0090817390484854e-06,0.0092,41.8 deg
0.33995,2.702805969559508e-07,0.0199,41.8 deg
0.35738,9.768926357869762e-07,0.0097,41.8 deg
0.3757,4.61058121487059e-07,0.0144,41.8 deg
0.394965,3.3582035290058073e-07,0.0154,41.8 deg
0.415215,9.468011607929408e-08,0.0327,41.8 deg
0.436505,1.319561019334007e-07,0.0305,41.8 deg
0.458885,1.9266555509906724e-07,0.0235,41.8 deg
0.48241,3.6481837249862196e-07,0.0166,41.8 deg
0.507145,1.9977247626062942e-07,0.0235,41.8 deg
0.533145,1.934204421793176e-07,0.027,41.8 deg
0.56048,3.0721521812050525e-07,0.0202,41.8 deg
0.58922,2.5253134827779e-07,0.0258,41.8 deg
0.61943,5.638471881627131e-07,0.0164,41.8 deg
