Energy,Value,Error,Lower energy,Upper energy,Angle
0.01 - 0.1,9.66253800899489e-08,0.005194911669142575,0.01,0.1,66.8 deg
0.1 - 1,2.0072279257181622e-07,0.003481000077040454,0.1,1.0,66.8 deg
1 - 3.5,4.810622321665699e-09,0.03444019088626947,1.0,3.5,66.8 deg
3.5 - 10,2.332880183078181e-10,0.27981070846199757,3.5,10.0,66.8 deg
10 - 20,2.085659929875419e-10,0.205513798069288,10.0,20.0,66.8 deg
