Energy,Value,Error,Lower energy,Upper energy,Angle
0.1 - 1,7.18305662202199e-07,0.0034130481062023712,0.1,1.0,0 deg
1 - 3.5,4.975398823838275e-07,0.002380889400172545,1.0,3.5,0 deg
3.5 - 10,1.1891784816367457e-06,0.002526287567079904,3.5,10.0,0 deg
10 - 20,1.4579004313422375e-05,0.000805880897892398,10.0,20.0,0 deg
