Value,Error,Energy
0.35462380628729145,0.0029214700155234304,0.1 - 1
1.8170133963809603,0.005207699326103002,1 - 3.5
0.587122729031971,0.007568153492337862,3.5 - 10
0.001708843049952708,0.055085737111699354,10 - 20
