Tally N.,Tally Description,Energy,Value,Error
4,Neutron Spectra,0.29452,0.854343,0.000270675
4,Neutron Spectra,0.29721,0.309444,0.00013415
4,Neutron Spectra,0.29849,0.146012,8.60852e-05
4,Neutron Spectra,0.30196999999999996,0.393172,0.000157148
4,Neutron Spectra,0.33372999999999997,3.32397,0.0007615
4,Neutron Spectra,0.36883,3.18707,0.000691799
4,Neutron Spectra,0.38774,1.53299,0.000430684
4,Neutron Spectra,0.40762,1.49272,0.000437475
4,Neutron Spectra,0.45049,2.86635,0.000593186
4,Neutron Spectra,0.49787,2.69286,0.000635674
4,Neutron Spectra,0.5234,1.2665,0.000437032
4,Neutron Spectra,0.55023,1.20173,0.000386339
4,Neutron Spectra,0.57844,1.13637,0.000373293
4,Neutron Spectra,0.6081,1.07301,0.000346799
4,Neutron Spectra,0.63928,1.0123,0.000362872
4,Neutron Spectra,0.67206,0.957879,0.000327234
4,Neutron Spectra,0.70651,0.904095,0.000293019
4,Neutron Spectra,0.74274,0.854486,0.000328052
4,Neutron Spectra,0.78082,0.79919,0.000331492
4,Neutron Spectra,0.82085,0.741922,0.000278013
4,Neutron Spectra,0.8629399999999999,0.685691,0.000285811
4,Neutron Spectra,0.90718,0.633947,0.000275533
4,Neutron Spectra,0.9616699999999999,0.674175,0.000297093
4,Neutron Spectra,1.0026,0.44032,0.000199216
4,Neutron Spectra,1.1079999999999999,0.937764,0.000306054
4,Neutron Spectra,1.1648,0.410675,0.000197555
4,Neutron Spectra,1.2246,0.376296,0.000179755
4,Neutron Spectra,1.2873999999999999,0.34354,0.000206761
4,Neutron Spectra,1.3534,0.312916,0.000195775
4,Neutron Spectra,1.4226999999999999,0.285305,0.000174234
4,Neutron Spectra,1.4957,0.261996,0.000164572
4,Neutron Spectra,1.5724,0.240591,0.000151429
4,Neutron Spectra,1.653,0.222099,0.000147125
4,Neutron Spectra,1.7377,0.205208,0.000137911
4,Neutron Spectra,1.8268,0.190923,0.000139257
4,Neutron Spectra,1.9204999999999999,0.178702,0.000127304
4,Neutron Spectra,2.019,0.167722,0.000141111
4,Neutron Spectra,2.1225,0.157627,0.000131895
4,Neutron Spectra,2.2313,0.149315,0.000125949
4,Neutron Spectra,2.3068999999999997,0.0955729,0.000100889
4,Neutron Spectra,2.3457,0.0467442,6.89826e-05
4,Neutron Spectra,2.3653,0.0230522,4.41379e-05
4,Neutron Spectra,2.3851,0.0228273,4.27836e-05
4,Neutron Spectra,2.4659999999999997,0.0899477,9.68113e-05
4,Neutron Spectra,2.5924,0.130268,0.000119625
4,Neutron Spectra,2.7253,0.125657,0.000112661
4,Neutron Spectra,2.8649999999999998,0.121918,0.000113838
4,Neutron Spectra,3.0119,0.119331,0.000102733
4,Neutron Spectra,3.1664,0.117413,9.99854e-05
4,Neutron Spectra,3.3287,0.115952,0.00010432
4,Neutron Spectra,3.6788,0.232144,0.000157202
4,Neutron Spectra,4.0657,0.237185,0.000150529
4,Neutron Spectra,4.4933,0.246556,0.000174222
4,Neutron Spectra,4.7237,0.127852,0.000103097
4,Neutron Spectra,4.9658,0.131727,0.000119972
4,Neutron Spectra,5.2204999999999995,0.135927,0.000111332
4,Neutron Spectra,5.488099999999999,0.14139,0.000132954
4,Neutron Spectra,5.7695,0.147137,0.000127323
4,Neutron Spectra,6.0653,0.153494,0.000132989
4,Neutron Spectra,6.3763,0.160026,0.000139881
4,Neutron Spectra,6.5924,0.110596,0.000104923
4,Neutron Spectra,6.7032,0.056408,7.78335e-05
4,Neutron Spectra,7.0469,0.174549,0.000134713
4,Neutron Spectra,7.4082,0.181913,0.000151541
4,Neutron Spectra,7.787999999999999,0.189503,0.000160898
4,Neutron Spectra,8.1873,0.197792,0.000163051
4,Neutron Spectra,8.607099999999999,0.20635,0.000161842
4,Neutron Spectra,9.048399999999999,0.215829,0.000161406
4,Neutron Spectra,9.5123,0.225297,0.000166475
4,Neutron Spectra,10.0,0.236005,0.000172078
4,Neutron Spectra,10.513,0.24718,0.00018097
4,Neutron Spectra,11.052,0.258832,0.000171814
4,Neutron Spectra,11.618,0.271624,0.00019321
4,Neutron Spectra,12.213999999999999,0.286022,0.000172902
4,Neutron Spectra,12.523,0.148171,0.000136708
4,Neutron Spectra,12.84,0.152086,0.000124928
4,Neutron Spectra,13.498999999999999,0.316741,0.000211291
4,Neutron Spectra,13.84,0.161511,0.000129252
4,Neutron Spectra,14.190999999999999,0.0674382,8.06672e-05
4,Neutron Spectra,14.549999999999999,0.0,0.0
4,Neutron Spectra,14.918,0.0,0.0
4,Neutron Spectra,15.683,0.0,0.0
4,Neutron Spectra,16.487,0.0,0.0
4,Neutron Spectra,16.904999999999998,0.0,0.0
4,Neutron Spectra,17.332,0.0,0.0
4,Neutron Spectra,19.64,0.0,0.0
14,Photon Spectra,0.01,0.000642222,7.76654e-08
14,Photon Spectra,0.02,0.000738632,9.80536e-08
14,Photon Spectra,0.049999999999999996,0.012957,1.46156e-06
14,Photon Spectra,0.09999999999999999,0.0215747,2.66901e-06
14,Photon Spectra,0.19999999999999998,0.165684,1.41909e-05
14,Photon Spectra,0.3,0.416052,4.09032e-05
14,Photon Spectra,0.39999999999999997,0.532836,6.07025e-05
14,Photon Spectra,0.6,1.79021,0.00018165
14,Photon Spectra,0.7999999999999999,0.953401,0.000151041
14,Photon Spectra,1.0,0.964469,0.000134559
14,Photon Spectra,1.22,0.935654,0.000157657
14,Photon Spectra,1.44,0.864541,0.00015025
14,Photon Spectra,1.66,0.780171,0.00014923
14,Photon Spectra,2.0,1.08604,0.000172756
14,Photon Spectra,2.5,1.27636,0.000174906
14,Photon Spectra,3.0,0.930194,0.000158897
14,Photon Spectra,4.0,1.05262,0.000185695
14,Photon Spectra,5.0,0.396861,0.00010782
14,Photon Spectra,6.5,0.129961,6.09618e-05
14,Photon Spectra,8.0,0.00809716,1.30063e-05
14,Photon Spectra,10.0,0.000142088,1.73966e-06
14,Photon Spectra,12.0,5.76311e-05,1.01223e-06
14,Photon Spectra,14.0,8.16895e-05,1.30955e-06
14,Photon Spectra,20.0,7.91598e-05,1.24176e-06
