Time,Value,Error,Energy
0.0008130099999999999,0.0009964582524000002,0.00296372232567174,0.01 - 0.03
0.00020168999999999997,0.00137992519665,0.0020150280482394197,0.03 - 0.06
8.054999999999999e-05,0.0026469457560000004,0.0016677697014413472,0.06 - 0.1
4.118e-05,0.004364459775,0.0014086854376887553,0.1 - 0.15
2.023e-05,0.00492082227,0.0013134147006289318,0.15 - 0.2
3.0239999999999995e-05,0.022979962979999997,0.0006356232482325511,0.2 - 0.4
6.660000000000001e-06,0.01241733285,0.0008497656081937747,0.4 - 0.5
6.450000000000001e-06,0.02456374635,0.0006966152818879433,0.5 - 0.7
5.450000000000001e-06,0.03622621275000001,0.0005597807969820202,0.7 - 1
1.9e-06,0.019522122750000002,0.0007598383390853291,1 - 1.2
2.15e-06,0.026767078649999998,0.0006525318646481435,1.2 - 1.5
2.25e-06,0.03498188265,0.0005984159204104453,1.5 - 2
9.9e-07,0.0173141982,0.0008846639877491959,2 - 2.5
9.000000000000001e-07,0.01612877175,0.0009617673971525293,2.5 - 3
1.06e-06,0.02000334375,0.0009499747312318187,3 - 4
3.4220000000000004e-06,0.02384046171,0.0010062706300660433,4 - 7
5.1750000000000004e-06,0.013150853820000002,0.0014648666003353715,7 - 10
1.6513e-05,0.7902755637718502,0.00015191957005906693,10 - 20
