User,Segments,Value,Error
0.0,1,1517450000000000.0,0.0045
0.0,2,32048300000000.0,0.0001
0.0,3,719148000000000.0,0.0062
1.0,1,423949000000000.0,0.0171
1.0,2,8505080000000.0,0.0009
1.0,3,190095000000000.0,0.0355
