Value,Error,Radius,Cells
1700.83,0.0038,Bare,
1087.03,0.0021,15 mm,Input 3
1485.65,0.0013,30 mm,Input 4
1810.29,0.0009,50 mm,Input 5
1574.45,0.0006,90 mm,Input 6
