Value,Error,Radius,Cells
111.303,0.0137,Bare,
61.1814,0.0084,15 mm,Input 3
72.6468,0.0056,30 mm,Input 4
79.5139,0.004,50 mm,Input 5
64.0983,0.0027,90 mm,Input 6
