Cells,Segments,Value,Error,Radius
129,1.0,5.83782,0.0044,Bare
Input 3,,3.03755,0.0017,15 mm
Input 4,,3.51821,0.0013,30 mm
Input 5,,3.78922,0.0012,50 mm
Input 6,,3.01343,0.0011,90 mm
