Value,Error,Radius,Cells
2056.49,0.0039,Bare,
22558.5,0.0014,15 mm,Input 3
35048.0,0.0004,30 mm,Input 4
44310.8,0.0003,50 mm,Input 5
24600.5,0.0002,90 mm,Input 6
