Value,Error,Radius,Cells
44.4833,0.0194,Bare,
400.196,0.0081,15 mm,Input 3
504.597,0.0026,30 mm,Input 4
485.113,0.002,50 mm,Input 5
154.269,0.0015,90 mm,Input 6
