Value,Error,Radius,Cells
101.154,0.0163,Bare,
934.34,0.0067,15 mm,Input 3
1174.68,0.0021,30 mm,Input 4
1144.17,0.0016,50 mm,Input 5
373.473,0.0012,90 mm,Input 6
