Value,Error,Radius,Cells
1408.85,0.0049,Bare,
12727.1,0.0021,15 mm,Input 3
15300.9,0.0006,30 mm,Input 4
17515.7,0.0004,50 mm,Input 5
7811.24,0.0003,90 mm,Input 6
