Value,Error,Radius,Cells
1141.22,0.0043,Bare,
12244.1,0.0016,15 mm,Input 3
18781.1,0.0004,30 mm,Input 4
23604.2,0.0003,50 mm,Input 5
12894.6,0.0002,90 mm,Input 6
