Value,Error,Radius,Cells
4505.28,0.0024,Bare,
3766.71,0.0012,15 mm,Input 3
6510.19,0.0006,30 mm,Input 4
9328.74,0.0003,50 mm,Input 5
8798.35,0.0002,90 mm,Input 6
