Value,Error,Radius,Cells
403.929,0.0093,Bare,
2379.51,0.0062,15 mm,Input 3
314.193,0.0035,30 mm,Input 4
368.769,0.0024,50 mm,Input 5
321.383,0.0015,90 mm,Input 6
