Value,Error,Radius,Cells
697.367,0.0056,Bare,
6153.71,0.0025,15 mm,Input 3
7052.66,0.0007,30 mm,Input 4
7913.17,0.0005,50 mm,Input 5
3360.08,0.0004,90 mm,Input 6
