Energy,Value,Error,Lower energy,Upper energy,Angle
0.01 - 0.1,2.9985209020103103e-07,0.003271582928365724,0.01,0.1,24.9 deg
0.1 - 1,1.4112045456590655e-06,0.0013141567237578073,0.1,1.0,24.9 deg
1 - 3.5,1.8833367199812176e-07,0.005318325419724516,1.0,3.5,24.9 deg
3.5 - 10,1.961005347437401e-08,0.037535220262079054,3.5,10.0,24.9 deg
10 - 20,8.758463815860492e-08,0.03057016914951115,10.0,20.0,24.9 deg
