Value,Error,Energy,Angle
1.105068239614781e-06,0.06896646976607793,0.01 - 0.1,66.8 deg
1.0508897099659412e-05,0.02504576941779578,0.1 - 1,66.8 deg
1.3175122143220826e-05,0.0179800888341549,1 - 3.5,66.8 deg
8.406126615430172e-06,0.024304888577119946,3.5 - 10,66.8 deg
1.0874174811148253e-05,0.014632907398783953,10 - 20,66.8 deg
