Energy,Value,Error,Lower energy,Upper energy,Angle
0.1 - 1,1.1250683016589384e-06,0.002588523853399404,0.1,1.0,12.2 deg
1 - 3.5,1.2198647616759038e-06,0.001779719107344502,1.0,3.5,12.2 deg
3.5 - 10,2.3242514546597114e-06,0.002321070733661619,3.5,10.0,12.2 deg
10 - 20,2.182358302443067e-05,0.0015251784824567025,10.0,20.0,12.2 deg
