Value,Error,Energy,Angle
3.3330301315723565e-06,0.049356991566417895,0.01 - 0.1,24.9 deg
8.93585807854005e-05,0.010771078056716883,0.1 - 1,24.9 deg
0.00015980325449013185,0.008280874860752914,1 - 3.5,24.9 deg
4.065340179025971e-05,0.02135719767917824,3.5 - 10,24.9 deg
0.00020779591974552772,0.007565053890148473,10 - 20,24.9 deg
