Energy,Value,Error,Angle
0.011927,3.690910773617039e-09,0.0136,66.8 deg
0.0125385,3.302794613119133e-08,0.0539,66.8 deg
0.0131815,3.839859729100071e-08,0.0521,66.8 deg
0.013857,3.868882461124168e-08,0.0509,66.8 deg
0.0145675,3.593000355837777e-08,0.0491,66.8 deg
0.0153145,4.281334449278684e-08,0.0473,66.8 deg
0.0160995,4.3128844319567285e-08,0.0452,66.8 deg
0.016925,4.7664965080739236e-08,0.0445,66.8 deg
0.017793,5.756628422946599e-08,0.0414,66.8 deg
0.0187055,5.983866817136032e-08,0.0384,66.8 deg
0.0196645,7.50619311231953e-08,0.0344,66.8 deg
0.0206725,9.403225719855666e-08,0.0315,66.8 deg
0.021732,9.503613661770127e-08,0.0299,66.8 deg
0.0228465,2.0730981422351525e-07,0.0202,66.8 deg
0.024018,4.612821842002912e-07,0.0139,66.8 deg
0.025249,1.3223735610391354e-06,0.0091,66.8 deg
0.0265435,4.94914375277683e-07,0.014,66.8 deg
0.0279045,1.3764115014944585e-08,0.0799,66.8 deg
0.0293355,3.422606689429123e-09,0.1653,66.8 deg
0.0308395,1.3505413955815794e-08,0.0842,66.8 deg
0.0324205,2.9260958477998264e-08,0.0601,66.8 deg
0.034083,4.519856033451614e-08,0.0455,66.8 deg
0.0358305,5.8705507969677364e-08,0.0398,66.8 deg
0.0376675,7.700042177698493e-08,0.0365,66.8 deg
0.039599,9.464284209757086e-08,0.0316,66.8 deg
0.0416295,1.131440666228421e-07,0.0294,66.8 deg
0.0437635,1.2717547266937455e-07,0.0277,66.8 deg
0.046007,1.5208360753832655e-07,0.0261,66.8 deg
0.048366,1.619187727294561e-07,0.0238,66.8 deg
0.050846,1.864381085255774e-07,0.0227,66.8 deg
0.053453,1.2463394343789918e-07,0.0266,66.8 deg
0.0561935,1.5597261344690429e-07,0.0249,66.8 deg
0.0590745,2.2413376680763709e-07,0.0212,66.8 deg
0.0621035,2.4640527068244543e-07,0.02,66.8 deg
0.0652875,3.135290004618645e-07,0.0181,66.8 deg
0.0686345,4.671652392000898e-07,0.0143,66.8 deg
0.0721535,6.653677411827717e-07,0.0125,66.8 deg
0.075853,2.6732217993100245e-07,0.0181,66.8 deg
0.079742,3.777082971955172e-07,0.0159,66.8 deg
0.0838305,1.3031314917555687e-06,0.0093,66.8 deg
0.088129,9.018423774719897e-08,0.0319,66.8 deg
0.0926475,2.2076059188437193e-07,0.0214,66.8 deg
0.0973975,2.9791449729004325e-07,0.0185,66.8 deg
0.102391,3.671306649076325e-07,0.016,66.8 deg
0.10764,4.805123922189728e-07,0.0147,66.8 deg
0.11316,5.345245989301697e-07,0.0138,66.8 deg
