Energy,Value,Error,Angle
0.011927,5.558345629662893e-09,0.0151,0 deg
0.0125385,4.513854638513743e-08,0.0455,0 deg
0.0131815,5.2971960034709934e-08,0.0435,0 deg
0.013857,5.307667647556857e-08,0.0392,0 deg
0.0145675,6.095075256170432e-08,0.0401,0 deg
0.0153145,7.0838180667965e-08,0.0367,0 deg
0.0160995,7.195169056023026e-08,0.0334,0 deg
0.016925,9.196797243698046e-08,0.0315,0 deg
0.017793,1.0872687272328238e-07,0.0283,0 deg
0.0187055,1.1902709859965001e-07,0.0269,0 deg
0.0196645,1.5032207262701115e-07,0.0236,0 deg
0.0206725,1.857078117094702e-07,0.0219,0 deg
0.021732,1.9676534778887454e-07,0.0206,0 deg
0.0228465,4.332111277974379e-07,0.0137,0 deg
0.024018,8.588755225647633e-07,0.0098,0 deg
0.025249,2.506071977350031e-06,0.0064,0 deg
0.0265435,7.644672940000214e-07,0.0111,0 deg
0.0279045,1.1030742817862165e-08,0.0915,0 deg
0.0293355,2.7500868502930227e-09,0.1851,0 deg
0.0308395,1.2260242882241885e-08,0.0947,0 deg
0.0324205,2.866569422415469e-08,0.0618,0 deg
0.034083,4.11875850430048e-08,0.0471,0 deg
0.0358305,5.792651980640421e-08,0.0422,0 deg
0.0376675,7.53057596739677e-08,0.0374,0 deg
0.039599,9.727511507855715e-08,0.0326,0 deg
0.0416295,1.1065072518978504e-07,0.0297,0 deg
0.0437635,1.2850510971524902e-07,0.0276,0 deg
0.046007,1.5277149803457196e-07,0.0249,0 deg
0.048366,1.6648125073670834e-07,0.0247,0 deg
0.050846,2.0269228819067716e-07,0.0222,0 deg
0.053453,1.2779766077308343e-07,0.027,0 deg
0.0561935,1.6297904763976574e-07,0.0255,0 deg
0.0590745,2.3862226887124885e-07,0.0203,0 deg
0.0621035,2.491151086970117e-07,0.0201,0 deg
0.0652875,3.216392850188779e-07,0.0177,0 deg
0.0686345,5.118959538158666e-07,0.0139,0 deg
0.0721535,8.242702464578609e-07,0.0112,0 deg
0.075853,2.832697134122415e-07,0.0174,0 deg
0.079742,3.795283275392693e-07,0.0162,0 deg
0.0838305,1.8746360061094891e-06,0.0075,0 deg
0.088129,6.987036638247202e-08,0.0372,0 deg
0.0926475,1.9423756106082633e-07,0.0237,0 deg
0.0973975,2.7103173052418103e-07,0.0195,0 deg
0.102391,3.312494271124662e-07,0.0174,0 deg
0.10764,4.6680261207007564e-07,0.015,0 deg
0.11316,5.254744850779115e-07,0.0144,0 deg
0.11896,6.94946659036131e-07,0.0121,0 deg
0.12506,1.0271361702499543e-06,0.0101,0 deg
0.131475,1.5697068790478263e-06,0.0077,0 deg
0.138215,3.6295155536709692e-06,0.0057,0 deg
0.1453,4.6328548236838975e-07,0.013,0 deg
0.15275,3.002418253412966e-07,0.0197,0 deg
0.16058,6.703445909980106e-07,0.0128,0 deg
0.16881,2.5132668246069504e-06,0.0064,0 deg
0.17747,5.557074886162347e-07,0.0138,0 deg
0.18657,3.2316617952334934e-06,0.0057,0 deg
0.196135,1.3480791387719508e-07,0.0291,0 deg
0.20619,3.5346622210227066e-07,0.0187,0 deg
0.21676,8.358624221440936e-07,0.0117,0 deg
0.227875,1.6812780289979342e-06,0.0075,0 deg
0.23956,9.579541246689566e-07,0.0112,0 deg
