Energy,Value,Error,Lower energy,Upper energy,Angle
0.01 - 0.1,1.3682961726740177e-07,0.007103549523226295,0.01,0.1,0 deg
0.1 - 1,4.550524335400574e-06,0.0008166502146471397,0.1,1.0,0 deg
1 - 3.5,1.0866714089059006e-05,0.0007387154760036773,1.0,3.5,0 deg
3.5 - 10,5.508878947242348e-06,0.0017201283412529823,3.5,10.0,0 deg
10 - 20,0.00047580412394749373,0.00028079800398584173,10.0,20.0,0 deg
