Value,Error,Energy,Angle
0.00013408592409014716,0.005079833631355602,0.1 - 1,0 deg
0.0006366025483601181,0.0036598485408765712,1 - 3.5,0 deg
0.0004876470121955693,0.00537502500343355,3.5 - 10,0 deg
0.01926443107002326,0.0004097035512715057,10 - 20,0 deg
