Energy,Value,Error,Lower energy,Upper energy,Angle
0.1 - 1,6.905608634564853e-07,0.003494080546203905,0.1,1.0,0 deg
1 - 3.5,4.926071455809333e-07,0.002390541768912327,1.0,3.5,0 deg
3.5 - 10,1.1966049873447702e-06,0.0025303646454371887,3.5,10.0,0 deg
10 - 20,1.647153502783758e-05,0.0007735213350810931,10.0,20.0,0 deg
