Energy,Value,Error,Lower energy,Upper energy,Angle
0.01 - 0.1,3.0263636385046376e-06,0.0014485455728351232,0.01,0.1,66.8 deg
0.1 - 1,1.3974006475548395e-06,0.001248618672885977,0.1,1.0,66.8 deg
1 - 3.5,1.7884791108496788e-06,0.002012717972605313,1.0,3.5,66.8 deg
3.5 - 10,1.51855601324966e-06,0.003905938750331009,3.5,10.0,66.8 deg
10 - 20,1.5584811379126376e-06,0.005560626195689113,10.0,20.0,66.8 deg
