Energy,Value,Error,Angle
0.011927,2.0014464358214692e-09,0.0276,12.2 deg
0.0125385,2.1822960851975504e-08,0.087,12.2 deg
0.0131815,2.2103793315429125e-08,0.0818,12.2 deg
0.013857,2.2769243298038874e-08,0.0741,12.2 deg
0.0145675,1.9554982282754927e-08,0.078,12.2 deg
0.0153145,2.3679650756962285e-08,0.0704,12.2 deg
0.0160995,2.1853390798002947e-08,0.0725,12.2 deg
0.016925,2.403826771070502e-08,0.0735,12.2 deg
0.017793,2.6327995317653327e-08,0.0719,12.2 deg
0.0187055,2.4360521202805987e-08,0.0725,12.2 deg
0.0196645,2.8093271293220948e-08,0.0686,12.2 deg
0.0206725,2.7020563520134283e-08,0.0699,12.2 deg
0.021732,3.5524734151357995e-08,0.0676,12.2 deg
0.0228465,2.819977336939142e-08,0.0657,12.2 deg
0.024018,3.131428246855398e-08,0.0656,12.2 deg
0.025249,3.358601807854654e-08,0.0654,12.2 deg
0.0265435,3.245087370505793e-08,0.0614,12.2 deg
0.0279045,3.01443494251725e-08,0.067,12.2 deg
0.0293355,2.944046426888039e-08,0.0643,12.2 deg
0.0308395,2.917179654876246e-08,0.0657,12.2 deg
0.0324205,2.8792107869460184e-08,0.0641,12.2 deg
0.034083,3.2228780374792643e-08,0.0609,12.2 deg
0.0358305,3.5333263110989365e-08,0.0575,12.2 deg
0.0376675,3.810059624411286e-08,0.0577,12.2 deg
0.039599,4.042417792406404e-08,0.0571,12.2 deg
0.0416295,4.2667175286669077e-08,0.057,12.2 deg
0.0437635,3.727464527279188e-08,0.0547,12.2 deg
0.046007,4.230496547961965e-08,0.0548,12.2 deg
0.048366,4.726126457911279e-08,0.0515,12.2 deg
0.050846,4.6780512190249884e-08,0.0523,12.2 deg
0.053453,5.0036292600990906e-08,0.0526,12.2 deg
0.0561935,5.464922667222995e-08,0.053,12.2 deg
0.0590745,5.1984401392318056e-08,0.0492,12.2 deg
0.0621035,5.814772411536815e-08,0.0467,12.2 deg
0.0652875,5.7158605463796674e-08,0.0502,12.2 deg
0.0686345,6.460640951333314e-08,0.0467,12.2 deg
0.0721535,6.708456896541565e-08,0.0434,12.2 deg
0.075853,6.963936281542257e-08,0.0506,12.2 deg
0.079742,7.39062321730748e-08,0.0431,12.2 deg
0.0838305,7.321389724872099e-08,0.0406,12.2 deg
0.088129,8.09189174132799e-08,0.041,12.2 deg
0.0926475,8.428186241035771e-08,0.0398,12.2 deg
0.0973975,8.279356148597016e-08,0.0395,12.2 deg
0.102391,1.0118169046507506e-07,0.0381,12.2 deg
0.10764,1.0111552936430321e-07,0.0362,12.2 deg
0.11316,1.0947318453014362e-07,0.0357,12.2 deg
0.11896,1.1173471324721999e-07,0.0347,12.2 deg
0.12506,1.1920233285551835e-07,0.0347,12.2 deg
0.131475,1.1742595546442918e-07,0.0336,12.2 deg
0.138215,1.2492627995083381e-07,0.033,12.2 deg
0.1453,1.2848217064879892e-07,0.032,12.2 deg
0.15275,1.4230062977928252e-07,0.032,12.2 deg
0.16058,1.335842179898194e-07,0.0331,12.2 deg
0.16881,1.5215190949555148e-07,0.0302,12.2 deg
0.17747,1.5361471792235344e-07,0.0302,12.2 deg
0.18657,1.7423504399018117e-07,0.0289,12.2 deg
0.196135,1.6623639201627833e-07,0.0287,12.2 deg
0.20619,1.7888633170638865e-07,0.0279,12.2 deg
0.21676,1.887078385414507e-07,0.0274,12.2 deg
0.227875,1.9546445881120166e-07,0.0276,12.2 deg
0.23956,2.148573191372068e-07,0.0261,12.2 deg
0.251845,2.220659798112234e-07,0.0258,12.2 deg
0.264755,2.428414630995893e-07,0.0253,12.2 deg
0.278325,2.4701995581879027e-07,0.0243,12.2 deg
0.292595,2.434604642778121e-07,0.0246,12.2 deg
0.3076,2.6981151907389437e-07,0.0241,12.2 deg
0.32337,2.798731235883857e-07,0.0239,12.2 deg
0.33995,2.8359423229259743e-07,0.023,12.2 deg
0.35738,2.9351758089937943e-07,0.0232,12.2 deg
0.3757,3.1040194084590975e-07,0.0223,12.2 deg
0.394965,3.1229127088339374e-07,0.0213,12.2 deg
0.415215,3.315426085321846e-07,0.0212,12.2 deg
0.436505,2.730575871751247e-07,0.0236,12.2 deg
0.458885,3.3805932492951737e-07,0.0218,12.2 deg
0.48241,4.133954819591271e-07,0.0204,12.2 deg
0.507145,4.215842135876509e-07,0.02,12.2 deg
0.533145,4.536199943705821e-07,0.0198,12.2 deg
0.56048,4.787687815073248e-07,0.0191,12.2 deg
0.58922,5.412723015101332e-07,0.0187,12.2 deg
0.61943,6.419210757505304e-07,0.0171,12.2 deg
0.65119,5.779636791381157e-07,0.0175,12.2 deg
0.68458,4.938559658166718e-07,0.018,12.2 deg
0.719675,5.495416403853867e-07,0.0177,12.2 deg
0.75657,6.024841620354988e-07,0.0175,12.2 deg
0.79536,6.515188405682385e-07,0.0168,12.2 deg
0.83614,7.104046542964614e-07,0.0167,12.2 deg
0.87901,7.889126706976892e-07,0.0158,12.2 deg
0.92408,8.258827904599473e-07,0.0155,12.2 deg
0.97146,9.927192797121527e-07,0.0146,12.2 deg
1.02127,7.775787927346227e-07,0.0152,12.2 deg
1.07365,7.835519063462168e-07,0.0147,12.2 deg
1.1287,7.786995392753586e-07,0.0154,12.2 deg
1.18655,9.823499677584585e-07,0.0145,12.2 deg
1.2474,1.0242874718885783e-06,0.0138,12.2 deg
1.31135,1.1314520417604722e-06,0.0135,12.2 deg
1.37855,8.543397823560254e-07,0.0148,12.2 deg
1.44925,8.358586432389639e-07,0.0141,12.2 deg
1.52355,9.73537252713674e-07,0.0139,12.2 deg
1.60165,9.284272211958153e-07,0.0147,12.2 deg
1.6838,9.509465192585488e-07,0.0143,12.2 deg
1.77015,1.029930431878651e-06,0.0138,12.2 deg
1.8609,9.408341528603729e-07,0.0141,12.2 deg
1.9563,1.1321081750922407e-06,0.0135,12.2 deg
2.0566,1.1846989616323188e-06,0.0133,12.2 deg
2.16205,1.1727423934747446e-06,0.0134,12.2 deg
2.2729,1.1701769391990116e-06,0.0133,12.2 deg
2.3894,1.2205101085470838e-06,0.0132,12.2 deg
2.5119,1.2891554690895005e-06,0.0129,12.2 deg
2.6407,1.3297678041639975e-06,0.0125,12.2 deg
2.7761,1.5022129201224321e-06,0.0121,12.2 deg
2.91845,1.7051354212409053e-06,0.0122,12.2 deg
3.06805,1.6095451286359625e-06,0.012,12.2 deg
3.22535,1.4799949905734458e-06,0.0127,12.2 deg
3.39075,1.2781829433469764e-06,0.0132,12.2 deg
3.5646,1.1827372111179927e-06,0.0128,12.2 deg
3.74735,1.1487751366830725e-06,0.0132,12.2 deg
3.93945,1.0528843310697253e-06,0.0144,12.2 deg
4.14145,9.429125675450082e-07,0.0149,12.2 deg
4.3538,8.784802559512736e-07,0.0156,12.2 deg
4.577,9.789970945263701e-07,0.0147,12.2 deg
4.81165,1.1039697165884867e-06,0.0149,12.2 deg
5.05835,1.3119505867600715e-06,0.0129,12.2 deg
5.3177,1.196931171779358e-06,0.0145,12.2 deg
5.59035,1.2787679650719687e-06,0.0147,12.2 deg
5.877,1.2950546520741522e-06,0.015,12.2 deg
6.1783,1.2464436397837715e-06,0.015,12.2 deg
6.49505,1.0808086203813489e-06,0.016,12.2 deg
6.8281,1.046248314189156e-06,0.0167,12.2 deg
7.1782,1.2781036394707596e-06,0.0162,12.2 deg
7.5462,1.190713877550532e-06,0.0183,12.2 deg
7.9331,1.4065789059352792e-06,0.0161,12.2 deg
8.33985,1.8632056641827186e-06,0.0146,12.2 deg
8.76745,1.848181555059861e-06,0.0149,12.2 deg
9.21695,2.2535820257778535e-06,0.0132,12.2 deg
9.6895,2.1655186965595867e-06,0.0137,12.2 deg
10.1863,1.977026183606976e-06,0.0146,12.2 deg
10.7085,1.8495548266229176e-06,0.0167,12.2 deg
11.2575,1.7804035636771734e-06,0.0182,12.2 deg
11.835,1.7651544746397044e-06,0.0188,12.2 deg
12.442,2.1003825416432596e-06,0.0198,12.2 deg
13.0795,2.9433877027731557e-06,0.0185,12.2 deg
13.75,8.782341323599003e-06,0.0119,12.2 deg
14.455,8.766328006136478e-05,0.0041,12.2 deg
15.196,0.00013023420250045538,0.0035,12.2 deg
15.9755,5.0518886923858805e-05,0.0059,12.2 deg
16.7945,4.645750342531569e-06,0.0201,12.2 deg
17.6555,6.656486136409628e-07,0.0518,12.2 deg
18.561,7.076720800689612e-08,0.1909,12.2 deg
19.5125,1.1579715125643134e-09,1.0,12.2 deg
20.464,0.0,0.0,12.2 deg
