Energy,Value,Error,Angle
3.06805,1.939202177231837e-09,0.4701,24.9 deg
3.22535,1.4044039184752556e-09,0.3631,24.9 deg
3.39075,2.722993679641715e-09,0.4096,24.9 deg
3.5646,1.042551201049788e-09,0.2396,24.9 deg
3.74735,1.753118455697717e-09,0.4937,24.9 deg
3.93945,1.0993355810433198e-09,0.64,24.9 deg
4.14145,8.66669960646939e-10,0.4161,24.9 deg
4.3538,2.0052573214919003e-09,0.6293,24.9 deg
4.577,7.028180111389378e-10,0.4859,24.9 deg
4.81165,3.040925091341342e-10,0.5153,24.9 deg
5.05835,1.5236053907944154e-09,0.6112,24.9 deg
5.3177,1.3216018356099767e-09,0.5368,24.9 deg
5.59035,2.167775865418758e-09,0.7004,24.9 deg
5.877,1.2685490538082993e-09,0.4409,24.9 deg
6.1783,1.0401361270181758e-09,0.733,24.9 deg
6.49505,6.116183044403571e-10,0.5896,24.9 deg
6.8281,1.052309574463297e-09,0.472,24.9 deg
7.1782,4.408785585805994e-10,0.5313,24.9 deg
7.5462,1.7145053325606912e-10,0.4136,24.9 deg
7.9331,1.1432656131357422e-10,0.3212,24.9 deg
8.33985,1.8482280688130383e-10,0.4311,24.9 deg
8.76745,6.924773422394061e-10,0.7584,24.9 deg
9.21695,6.909151478986736e-10,0.5891,24.9 deg
9.6895,7.293897701687704e-10,0.6633,24.9 deg
10.1863,1.4280375738794701e-10,0.2686,24.9 deg
10.7085,2.074103150824892e-10,0.2152,24.9 deg
11.2575,2.1986027084391506e-10,0.2919,24.9 deg
11.835,5.442896783636281e-10,0.3485,24.9 deg
12.442,1.4782471295069538e-09,0.5986,24.9 deg
13.0795,1.31912504008588e-09,0.3676,24.9 deg
13.75,3.51503283528585e-09,0.2891,24.9 deg
14.455,1.5017854039321925e-08,0.2366,24.9 deg
15.196,1.6013547051236366e-08,0.2244,24.9 deg
15.9755,1.1853715197347014e-09,0.2943,24.9 deg
16.7945,9.693559659231553e-14,0.5774,24.9 deg
17.6555,0.0,0.0,24.9 deg
18.561,0.0,0.0,24.9 deg
19.5125,0.0,0.0,24.9 deg
20.464,0.0,0.0,24.9 deg
