Energy,Value,Error,Lower energy,Upper energy,Angle
0.01 - 0.1,6.992365254595016e-08,0.009009457383564016,0.01,0.1,24.9 deg
0.1 - 1,3.8306186063816443e-07,0.003741499248740726,0.1,1.0,24.9 deg
1 - 3.5,1.3890612540136193e-06,0.003133077264580955,1.0,3.5,24.9 deg
3.5 - 10,1.6778712878061649e-06,0.0035638729361732128,3.5,10.0,24.9 deg
10 - 20,5.496461712824514e-06,0.004378150915439377,10.0,20.0,24.9 deg
