Energy,Value,Error,Lower energy,Upper energy,Angle
0.01 - 0.1,1.1702335163198104e-07,0.005166392180456094,0.01,0.1,66.8 deg
0.1 - 1,2.4111168863605406e-06,0.0012319288510876118,0.1,1.0,66.8 deg
1 - 3.5,4.132788987383883e-06,0.001415450540179948,1.0,3.5,66.8 deg
3.5 - 10,1.3919343724040946e-06,0.00400410880408439,3.5,10.0,66.8 deg
10 - 20,1.894891536511718e-06,0.005021911532277542,10.0,20.0,66.8 deg
