Energy,Value,Error,Lower energy,Upper energy,Angle
0.01 - 0.1,4.6028777100344956e-08,0.01052746222546718,0.01,0.1,41.8 deg
0.1 - 1,3.3670382143918656e-07,0.0030865115771187947,0.1,1.0,41.8 deg
1 - 3.5,9.891240650961032e-07,0.0025310776475733917,1.0,3.5,41.8 deg
3.5 - 10,8.497641449745649e-07,0.0034096272144797397,3.5,10.0,41.8 deg
10 - 20,2.180107694269576e-06,0.0038125580126837136,10.0,20.0,41.8 deg
