Energy,Value,Error,Lower energy,Upper energy,Angle
0.1 - 1,5.851791033042549e-07,0.0034603221113731855,0.1,1.0,41.8 deg
1 - 3.5,3.495842637542165e-07,0.003033121708474457,1.0,3.5,41.8 deg
3.5 - 10,3.9780740970707755e-07,0.004629948211536442,3.5,10.0,41.8 deg
10 - 20,4.6424115242025564e-07,0.007830112495781458,10.0,20.0,41.8 deg
