Cells,Value,Error,Distance,Pellet
9.501,136.736,0.0125,9.5,1
15.801,147.85,0.0142,15.8,1
22.101,119.78,0.0162,22.1,1
28.401,75.2961,0.0203,28.4,1
9.502,124.61,0.0111,9.5,2
15.802,132.049,0.0133,15.8,2
22.102,108.715,0.0157,22.1,2
28.402,67.3824,0.0197,28.4,2
9.503,120.154,0.0108,9.5,3
15.803,126.097,0.0129,15.8,3
22.103,102.827,0.0154,22.1,3
28.403,63.3289,0.0192,28.4,3
9.504,117.487,0.0104,9.5,4
15.804,123.23,0.0127,15.8,4
22.104,99.3008,0.0171,22.1,4
28.404,61.3399,0.0192,28.4,4
9.505,117.569,0.0108,9.5,5
15.805,121.041,0.0129,15.8,5
22.105,98.2395,0.0151,22.1,5
28.405,59.099,0.0189,28.4,5
9.506,119.114,0.0111,9.5,6
15.806,121.035,0.0129,15.8,6
22.106,97.3081,0.0156,22.1,6
28.406,59.2267,0.0195,28.4,6
9.507,118.64,0.0111,9.5,7
15.807,120.51,0.0127,15.8,7
22.107,95.9545,0.0148,22.1,7
28.407,61.5309,0.0198,28.4,7
9.508,119.081,0.0113,9.5,08
15.808,124.289,0.0135,15.8,08
22.108,100.783,0.0161,22.1,08
28.408,65.5897,0.0204,28.4,08
9.509,120.904,0.0117,9.5,09
15.809,131.913,0.0138,15.8,09
22.109,107.337,0.0165,22.1,09
28.409,68.8577,0.0201,28.4,09
9.51,127.278,0.0122,9.5,10
15.81,140.66,0.0137,15.8,10
22.11,116.396,0.0158,22.1,10
28.41,74.4081,0.02,28.4,10
9.511,139.503,0.0133,9.5,11
15.811,159.402,0.0141,15.8,11
22.111,132.098,0.0175,22.1,11
28.411,83.0225,0.0213,28.4,11
9.512,156.066,0.0142,9.5,12
15.812,191.454,0.0157,15.8,12
22.112,158.733,0.0174,22.1,12
28.412,100.724,0.0221,28.4,12
