Value,Error,Energy,Offset
412.47818439395195,0.004188924634870486,5 - 10,on-axis
1548.3996413252737,0.005661123304578121,10 - 20,on-axis
2799.055862794223,0.005966712387322584,20 - 30,on-axis
5220.5274647794595,0.005418659239745372,30 - 40,on-axis
5546.735453782036,0.0045803799144611135,40 - 50,on-axis
5433.4998628451785,0.0034602337086650573,50 - 60,on-axis
32691.445592263553,0.0013453878505402738,60 - 70,on-axis
131.67735695771387,0.007416875191877628,5 - 10,20 cm
428.97452580628516,0.010752467675338077,10 - 20,20 cm
687.1794664248794,0.012032056162406752,20 - 30,20 cm
1126.8744866300592,0.011538770640268635,30 - 40,20 cm
1018.3489516954719,0.010558166964133319,40 - 50,20 cm
851.8129879649179,0.008579473490172861,50 - 60,20 cm
2305.753116460298,0.005181744454044175,60 - 70,20 cm
30.27448515909127,0.014977986643795993,5 - 10,40 cm
96.2390511372116,0.022375137589030446,10 - 20,40 cm
146.86228073659294,0.025735847748153802,20 - 30,40 cm
216.32942760123785,0.025795554807700658,30 - 40,40 cm
176.58242465336926,0.024829132693105115,40 - 50,40 cm
131.47953536310524,0.021312088609709907,50 - 60,40 cm
168.08338207946696,0.018842186998862094,60 - 70,40 cm
