Energy,Value,Error,Offset
6.0,0.08118348090707005,0.0014,20 cm
7.0,9.475339334453704,0.0014,20 cm
8.0,8.330775094423062,0.0014,20 cm
9.0,7.810182467055,0.0014,20 cm
10.0,7.55584760599893,0.0015,20 cm
11.0,7.644146737481441,0.0015,20 cm
12.0,7.4879518350531615,0.0016,20 cm
13.0,7.5677724755464615,0.0016,20 cm
14.0,7.884819716668687,0.0016,20 cm
15.0,8.271187844499662,0.0016,20 cm
16.0,8.535383059456498,0.0017,20 cm
17.0,8.953309459702952,0.0017,20 cm
18.0,9.469419524404467,0.0018,20 cm
19.0,9.903246133611939,0.0018,20 cm
20.0,10.397187514815581,0.0019,20 cm
21.0,10.98166011779249,0.0019,20 cm
22.0,11.574351226058859,0.002,20 cm
23.0,12.249727986203139,0.002,20 cm
24.0,12.857423815342019,0.002,20 cm
25.0,13.59127613729667,0.0021,20 cm
26.0,14.275161132636327,0.0021,20 cm
27.0,14.986144271376117,0.0022,20 cm
28.0,15.669642975015183,0.0022,20 cm
29.0,16.513713451549556,0.0023,20 cm
30.0,17.213430393470937,0.0024,20 cm
31.0,17.918425578928044,0.0025,20 cm
32.0,18.7372406296987,0.0026,20 cm
33.0,19.643335009856603,0.0026,20 cm
34.0,20.479541576311842,0.0027,20 cm
35.0,21.218498235617542,0.0028,20 cm
36.0,22.166047607897088,0.0029,20 cm
37.0,22.718076805591473,0.003,20 cm
38.0,23.28135771680733,0.0031,20 cm
39.0,23.85040997431448,0.0032,20 cm
40.0,24.48865242933835,0.0033,20 cm
41.0,25.21150800554621,0.0034,20 cm
42.0,25.87835523264858,0.0035,20 cm
43.0,26.482738088232427,0.0036,20 cm
44.0,27.710541550870055,0.0038,20 cm
46.0,28.945083964886877,0.0033,20 cm
48.0,30.998166172702952,0.0035,20 cm
50.0,32.30758358329609,0.0037,20 cm
52.0,32.807154601479986,0.004,20 cm
54.0,32.054835362051776,0.0043,20 cm
56.0,30.651146793080457,0.0047,20 cm
58.0,27.582376644868777,0.0048,20 cm
60.0,31.709463044168835,0.004,20 cm
62.0,36.758356594561704,0.0036,20 cm
64.0,171.80294908327207,0.0029,20 cm
66.0,363.32458126734656,0.0023,20 cm
68.0,76.08591444043174,0.0048,20 cm
70.0,1.8274784860689925,0.0308,20 cm
6.0,0.010637325502089628,0.0017,40 cm
7.0,1.279099127042149,0.0017,40 cm
8.0,1.146659201185332,0.0017,40 cm
9.0,1.1147445747878726,0.0019,40 cm
10.0,1.0886526065657103,0.0019,40 cm
11.0,1.113396283774345,0.002,40 cm
12.0,1.0917606787365508,0.002,40 cm
13.0,1.099594236104275,0.0024,40 cm
14.0,1.1437811282189163,0.0021,40 cm
15.0,1.1976005378414636,0.002,40 cm
16.0,1.2299088761392596,0.0021,40 cm
17.0,1.2809350008835525,0.0022,40 cm
18.0,1.3652583190728746,0.0022,40 cm
19.0,1.4162129697258146,0.0022,40 cm
20.0,1.479579366195283,0.0023,40 cm
21.0,1.564501806858515,0.0025,40 cm
22.0,1.6411236960706528,0.0024,40 cm
23.0,1.7320033120692488,0.0025,40 cm
24.0,1.822276847643353,0.0024,40 cm
25.0,1.9018130033180618,0.0025,40 cm
26.0,1.997615384855519,0.0025,40 cm
27.0,2.0795129293966297,0.0025,40 cm
28.0,2.1587705717511017,0.0025,40 cm
29.0,2.2486102097151024,0.0025,40 cm
30.0,2.31634235362537,0.0026,40 cm
31.0,2.4094610216864045,0.0027,40 cm
32.0,2.4914564753564683,0.0027,40 cm
33.0,2.5900716260742334,0.0027,40 cm
34.0,2.6713696593583145,0.0028,40 cm
35.0,2.7468425602408475,0.0029,40 cm
36.0,2.8223083042105337,0.0029,40 cm
37.0,2.8724944028795605,0.003,40 cm
38.0,2.9244554304496666,0.003,40 cm
39.0,2.975409153081267,0.0031,40 cm
40.0,3.0127015754021906,0.0032,40 cm
41.0,3.064742530707712,0.0032,40 cm
42.0,3.1210971684506794,0.0032,40 cm
43.0,3.168641049113512,0.0033,40 cm
44.0,3.26278259800213,0.0034,40 cm
46.0,3.333816061035896,0.0029,40 cm
48.0,3.442747355701852,0.003,40 cm
50.0,3.486723313565086,0.0032,40 cm
52.0,3.415185223086482,0.0034,40 cm
54.0,3.2466066552386263,0.0036,40 cm
56.0,3.026976382708928,0.0039,40 cm
58.0,2.8206063645463466,0.0038,40 cm
60.0,3.4538537091207195,0.0032,40 cm
62.0,4.136862853217051,0.0031,40 cm
64.0,15.276815294731623,0.0025,40 cm
66.0,20.45993057502023,0.0023,40 cm
68.0,2.6565905569359574,0.0061,40 cm
70.0,0.060899275703170296,0.0406,40 cm
