Value,Error,Energy,Offset
107.45214557159552,0.008401363462893016,5 - 10,20 cm
339.7107094809494,0.012133182619952061,10 - 20,20 cm
531.6042921734859,0.013393576317908018,20 - 30,20 cm
756.4223513598214,0.013683059630528127,30 - 40,20 cm
585.4753123883113,0.013483998681975057,40 - 50,20 cm
365.60267337194034,0.012544301189509905,50 - 60,20 cm
1081.9609078159922,0.007332765019298441,60 - 70,20 cm
10.190175382840055,0.026683916689083396,5 - 10,40 cm
34.20776344446386,0.03748026876001243,10 - 20,40 cm
49.34275257532186,0.043174821218613386,20 - 30,40 cm
62.40298949282678,0.046416849111276914,30 - 40,40 cm
43.3722168332184,0.04873721356239728,40 - 50,40 cm
22.864544929187094,0.04924261288396078,50 - 60,40 cm
42.76115967867439,0.03688748948094972,60 - 70,40 cm
