Cells,Energy,Value,Error
Blanket_outboard_m2_2,1e-07,4.77207e-08,0.0003
Blanket_outboard_m2_2,4.14e-07,9.25562e-08,0.0002
Blanket_outboard_m2_2,5.316e-07,2.20626e-08,0.0004
Blanket_outboard_m2_2,6.826e-07,2.39933e-08,0.0004
Blanket_outboard_m2_2,8.764e-07,2.58784e-08,0.0004
Blanket_outboard_m2_2,1.125e-06,2.77299e-08,0.0003
Blanket_outboard_m2_2,1.445e-06,2.96244e-08,0.0003
Blanket_outboard_m2_2,1.855e-06,3.13119e-08,0.0003
Blanket_outboard_m2_2,2.382e-06,3.30126e-08,0.0003
Blanket_outboard_m2_2,3.059e-06,3.45967e-08,0.0003
Blanket_outboard_m2_2,3.928e-06,3.59271e-08,0.0003
Blanket_outboard_m2_2,5.043e-06,3.7371e-08,0.0003
Blanket_outboard_m2_2,6.476e-06,3.90914e-08,0.0003
Blanket_outboard_m2_2,8.315e-06,4.02418e-08,0.0003
Blanket_outboard_m2_2,1.068e-05,4.15936e-08,0.0003
Blanket_outboard_m2_2,1.371e-05,4.23507e-08,0.0003
Blanket_outboard_m2_2,1.76e-05,4.36183e-08,0.0003
Blanket_outboard_m2_2,2.26e-05,4.44789e-08,0.0003
Blanket_outboard_m2_2,2.902e-05,4.50708e-08,0.0003
Blanket_outboard_m2_2,3.727e-05,4.49543e-08,0.0003
Blanket_outboard_m2_2,4.785e-05,4.22386e-08,0.0003
Blanket_outboard_m2_2,6.144e-05,4.95029e-08,0.0003
Blanket_outboard_m2_2,7.889e-05,5.01877e-08,0.0003
Blanket_outboard_m2_2,0.0001013,5.12654e-08,0.0003
Blanket_outboard_m2_2,0.0001301,5.13663e-08,0.0003
Blanket_outboard_m2_2,0.000167,5.02504e-08,0.0003
Blanket_outboard_m2_2,0.0002145,5.6652e-08,0.0003
Blanket_outboard_m2_2,0.0002754,6.18541e-08,0.0003
Blanket_outboard_m2_2,0.0003536,4.12342e-08,0.0003
Blanket_outboard_m2_2,0.000454,4.4324e-08,0.0003
Blanket_outboard_m2_2,0.0005829,5.53867e-08,0.0003
Blanket_outboard_m2_2,0.0007485,5.80422e-08,0.0003
Blanket_outboard_m2_2,0.0009611,5.97944e-08,0.0003
Blanket_outboard_m2_2,0.001234,5.4077e-08,0.0003
Blanket_outboard_m2_2,0.001585,6.59803e-08,0.0003
Blanket_outboard_m2_2,0.002035,7.32064e-08,0.0003
Blanket_outboard_m2_2,0.002249,2.54595e-08,0.0003
Blanket_outboard_m2_2,0.002485,1.73118e-08,0.0003
Blanket_outboard_m2_2,0.002613,9.20471e-09,0.0004
Blanket_outboard_m2_2,0.002747,1.1011e-08,0.0004
Blanket_outboard_m2_2,0.003035,2.58656e-08,0.0004
Blanket_outboard_m2_2,0.003355,2.80822e-08,0.0003
Blanket_outboard_m2_2,0.003707,2.7892e-08,0.0003
Blanket_outboard_m2_2,0.004307,3.51556e-08,0.0003
Blanket_outboard_m2_2,0.005531,6.42074e-08,0.0003
Blanket_outboard_m2_2,0.007102,6.39658e-08,0.0003
Blanket_outboard_m2_2,0.009119,4.33193e-08,0.0003
Blanket_outboard_m2_2,0.01059,4.10688e-08,0.0003
Blanket_outboard_m2_2,0.01171,3.19786e-08,0.0004
Blanket_outboard_m2_2,0.01503,6.83339e-08,0.0003
Blanket_outboard_m2_2,0.0193,5.4171e-08,0.0003
Blanket_outboard_m2_2,0.02187,3.72367e-08,0.0004
Blanket_outboard_m2_2,0.02358,2.84784e-08,0.0005
Blanket_outboard_m2_2,0.02418,1.16806e-08,0.0007
Blanket_outboard_m2_2,0.02479,1.5816e-08,0.0006
Blanket_outboard_m2_2,0.02606,3.70072e-08,0.0004
Blanket_outboard_m2_2,0.027,1.48003e-08,0.0005
Blanket_outboard_m2_2,0.0285,4.81083e-09,0.0004
Blanket_outboard_m2_2,0.03183,1.77185e-08,0.0004
Blanket_outboard_m2_2,0.03431,1.95435e-08,0.0004
Blanket_outboard_m2_2,0.04087,5.20047e-08,0.0004
Blanket_outboard_m2_2,0.04631,4.75631e-08,0.0004
Blanket_outboard_m2_2,0.05248,4.35926e-08,0.0004
Blanket_outboard_m2_2,0.05656,2.49235e-08,0.0005
Blanket_outboard_m2_2,0.06738,6.92113e-08,0.0004
Blanket_outboard_m2_2,0.07202,3.21437e-08,0.0004
Blanket_outboard_m2_2,0.0795,3.98399e-08,0.0004
Blanket_outboard_m2_2,0.0825,3.0505e-08,0.0005
Blanket_outboard_m2_2,0.08652,1.35949e-08,0.0005
Blanket_outboard_m2_2,0.09804,5.09747e-08,0.0004
Blanket_outboard_m2_2,0.1111,4.73015e-08,0.0004
Blanket_outboard_m2_2,0.1168,2.43288e-08,0.0005
Blanket_outboard_m2_2,0.1228,2.81796e-08,0.0005
Blanket_outboard_m2_2,0.1291,3.3949e-08,0.0005
Blanket_outboard_m2_2,0.1357,3.82677e-08,0.0005
Blanket_outboard_m2_2,0.1426,3.03864e-08,0.0005
Blanket_outboard_m2_2,0.15,1.71167e-08,0.0005
Blanket_outboard_m2_2,0.1576,2.72067e-08,0.0005
Blanket_outboard_m2_2,0.1657,2.78612e-08,0.0005
Blanket_outboard_m2_2,0.1742,2.82728e-08,0.0005
Blanket_outboard_m2_2,0.1832,4.03079e-08,0.0004
Blanket_outboard_m2_2,0.1925,2.68878e-08,0.0005
Blanket_outboard_m2_2,0.2024,2.40616e-08,0.0005
Blanket_outboard_m2_2,0.2128,2.87492e-08,0.0005
Blanket_outboard_m2_2,0.2237,3.26865e-08,0.0005
Blanket_outboard_m2_2,0.2352,3.17935e-08,0.0005
Blanket_outboard_m2_2,0.2472,3.19244e-08,0.0005
Blanket_outboard_m2_2,0.2732,8.07093e-08,0.0004
Blanket_outboard_m2_2,0.2872,3.00937e-08,0.0005
Blanket_outboard_m2_2,0.2945,1.91221e-08,0.0006
Blanket_outboard_m2_2,0.2972,8.59292e-09,0.0009
Blanket_outboard_m2_2,0.2985,4.5065e-09,0.0013
Blanket_outboard_m2_2,0.302,1.30848e-08,0.0008
Blanket_outboard_m2_2,0.3337,8.78102e-08,0.0004
Blanket_outboard_m2_2,0.3688,9.14577e-08,0.0004
Blanket_outboard_m2_2,0.3877,4.82355e-08,0.0004
Blanket_outboard_m2_2,0.4076,3.14305e-08,0.0004
Blanket_outboard_m2_2,0.4505,6.52223e-08,0.0004
Blanket_outboard_m2_2,0.4979,8.14607e-08,0.0004
Blanket_outboard_m2_2,0.5234,4.41933e-08,0.0005
Blanket_outboard_m2_2,0.5502,4.55797e-08,0.0005
Blanket_outboard_m2_2,0.5784,4.98898e-08,0.0005
Blanket_outboard_m2_2,0.6081,6.07821e-08,0.0005
Blanket_outboard_m2_2,0.6393,5.52674e-08,0.0004
Blanket_outboard_m2_2,0.6721,5.75983e-08,0.0004
Blanket_outboard_m2_2,0.7065,5.52561e-08,0.0004
Blanket_outboard_m2_2,0.7427,4.96415e-08,0.0004
Blanket_outboard_m2_2,0.7808,3.98736e-08,0.0005
Blanket_outboard_m2_2,0.8209,4.22302e-08,0.0005
Blanket_outboard_m2_2,0.8629,4.36991e-08,0.0005
Blanket_outboard_m2_2,0.9072,3.89279e-08,0.0005
Blanket_outboard_m2_2,0.9617,4.85019e-08,0.0005
Blanket_outboard_m2_2,1.003,2.79602e-08,0.0006
