Cells,Value,Error
Blanket_outboard_t3_1,2.12191e-06,0.0001
Blanket_outboard_t3_2,2.04631e-06,0.0002
Blanket_outboard_t3_3,2.04573e-06,0.0002
Blanket_outboard_b2_1,2.51428e-06,0.0002
Blanket_outboard_b2_2,2.44059e-06,0.0002
Blanket_outboard_b2_3,2.44211e-06,0.0002
Blanket_outboard_m2_1,2.65773e-06,0.0001
Blanket_outboard_m2_2,2.65245e-06,0.0001
Blanket_outboard_m3_1,2.64324e-06,0.0001
Blanket_outboard_m3_2,2.63961e-06,0.0001
Blanket_outboard_t4,2.80752e-06,0.0002
Blanket_outboard_b1,2.93076e-06,0.0002
Blanket_t1_1,1.49492e-06,0.0003
Blanket_t1_2,1.49596e-06,0.0003
Blanket_outboard_t2_1,1.49158e-06,0.0002
Blanket_outboard_t2_2,1.57734e-06,0.0003
Blanket_outboard_t2_3,1.57699e-06,0.0003
Blanket_outboard_m1_1,1.89492e-06,0.0002
Blanket_outboard_m1_2,1.89406e-06,0.0002
Blanket_outboard_m4_1,1.98412e-06,0.0002
Blanket_outboard_m4_2,1.98481e-06,0.0002
Blanket_inboard_m_1,3.79065e-06,0.0002
Blanket_inboard_m_2,2.97299e-06,0.0002
Blanket_inboard_m_3,2.97434e-06,0.0002
Blanket_inboard_b1_1,2.22347e-06,0.0002
Blanket_inboard_b1_2,1.98297e-06,0.0003
Blanket_inboard_b1_3,1.98387e-06,0.0003
Blanket_inboard_t2_1,8.58876e-07,0.0004
Blanket_inboard_t2_2,8.7647e-07,0.0004
Blanket_inboard_t2_3,8.76662e-07,0.0004
Blanket_inboard_t4_1,2.45516e-06,0.0002
Blanket_inboard_t4_2,2.16927e-06,0.0003
Blanket_inboard_t4_3,2.16913e-06,0.0003
Blanket_inboard_t3_1,1.38409e-06,0.0003
Blanket_inboard_t3_2,1.33686e-06,0.0003
Blanket_inboard_t3_3,1.33689e-06,0.0003
Blanket_inboard_b2_1,1.29383e-06,0.0003
Blanket_inboard_b2_2,1.25576e-06,0.0004
Blanket_inboard_b2_3,1.25579e-06,0.0004
Blanket_t1_3,1.17538e-06,0.0006
