Cells,Energy,Value,Error
PF_coil_1,1e-07,0.0,0.0
PF_coil_1,4.14e-07,0.0,0.0
PF_coil_1,5.316e-07,0.0,0.0
PF_coil_1,6.826e-07,0.0,0.0
PF_coil_1,8.764e-07,0.0,0.0
PF_coil_1,1.125e-06,0.0,0.0
PF_coil_1,1.445e-06,0.0,0.0
PF_coil_1,1.855e-06,0.0,0.0
PF_coil_1,2.382e-06,0.0,0.0
PF_coil_1,3.059e-06,0.0,0.0
PF_coil_1,3.928e-06,0.0,0.0
PF_coil_1,5.043e-06,0.0,0.0
PF_coil_1,6.476e-06,0.0,0.0
PF_coil_1,8.315e-06,0.0,0.0
PF_coil_1,1.068e-05,0.0,0.0
PF_coil_1,1.371e-05,0.0,0.0
PF_coil_1,1.76e-05,0.0,0.0
PF_coil_1,2.26e-05,0.0,0.0
PF_coil_1,2.902e-05,0.0,0.0
PF_coil_1,3.727e-05,0.0,0.0
PF_coil_1,4.785e-05,0.0,0.0
PF_coil_1,6.144e-05,0.0,0.0
PF_coil_1,7.889e-05,0.0,0.0
PF_coil_1,0.0001013,0.0,0.0
PF_coil_1,0.0001301,0.0,0.0
PF_coil_1,0.000167,0.0,0.0
PF_coil_1,0.0002145,0.0,0.0
PF_coil_1,0.0002754,0.0,0.0
PF_coil_1,0.0003536,0.0,0.0
PF_coil_1,0.000454,0.0,0.0
PF_coil_1,0.0005829,0.0,0.0
PF_coil_1,0.0007485,0.0,0.0
PF_coil_1,0.0009611,0.0,0.0
PF_coil_1,0.001234,2.09531e-16,0.0065
PF_coil_1,0.001585,4.24814e-16,0.0061
PF_coil_1,0.002035,7.93385e-16,0.0061
PF_coil_1,0.002249,4.71767e-16,0.0094
PF_coil_1,0.002485,7.03615e-16,0.0087
PF_coil_1,0.002613,3.67526e-16,0.013
PF_coil_1,0.002747,4.07851e-16,0.013
PF_coil_1,0.003035,9.93191e-16,0.0094
PF_coil_1,0.003355,1.31988e-15,0.0093
PF_coil_1,0.003707,1.7227e-15,0.0094
PF_coil_1,0.004307,3.61701e-15,0.0078
PF_coil_1,0.005531,2.48558e-14,0.0044
PF_coil_1,0.007102,8.73266e-14,0.0029
PF_coil_1,0.009119,7.87772e-14,0.0027
PF_coil_1,0.01059,5.43073e-15,0.0079
PF_coil_1,0.01171,5.06208e-15,0.0095
PF_coil_1,0.01503,2.14849e-14,0.0062
PF_coil_1,0.0193,7.66918e-14,0.0047
PF_coil_1,0.02187,4.08751e-14,0.0077
PF_coil_1,0.02358,2.43e-14,0.0114
PF_coil_1,0.02418,9.16837e-15,0.0198
PF_coil_1,0.02479,9.63086e-15,0.0199
PF_coil_1,0.02606,2.16845e-14,0.014
PF_coil_1,0.027,1.79886e-14,0.0165
PF_coil_1,0.0285,2.99418e-14,0.0133
PF_coil_1,0.03183,7.73935e-14,0.0096
PF_coil_1,0.03431,6.91078e-14,0.0115
PF_coil_1,0.04087,2.27491e-13,0.0078
PF_coil_1,0.04631,2.5537e-13,0.009
PF_coil_1,0.05248,3.80143e-13,0.0089
PF_coil_1,0.05656,3.32691e-13,0.0106
PF_coil_1,0.06738,1.48708e-12,0.0063
PF_coil_1,0.07202,1.16026e-12,0.008
PF_coil_1,0.0795,3.09259e-12,0.0057
PF_coil_1,0.0825,1.77776e-12,0.0078
PF_coil_1,0.08652,3.06686e-12,0.0063
PF_coil_1,0.09804,1.37222e-11,0.0036
PF_coil_1,0.1111,2.46319e-11,0.0032
PF_coil_1,0.1168,1.37595e-11,0.0042
PF_coil_1,0.1228,1.64287e-11,0.0041
PF_coil_1,0.1291,1.9437e-11,0.0039
PF_coil_1,0.1357,2.07165e-11,0.0039
PF_coil_1,0.1426,2.28711e-11,0.0039
PF_coil_1,0.15,2.56322e-11,0.0038
PF_coil_1,0.1576,2.7102e-11,0.0038
PF_coil_1,0.1657,3.14578e-11,0.0037
PF_coil_1,0.1742,3.13559e-11,0.0038
PF_coil_1,0.1832,3.37709e-11,0.0037
PF_coil_1,0.1925,3.58894e-11,0.0037
PF_coil_1,0.2024,3.50422e-11,0.0038
PF_coil_1,0.2128,3.64996e-11,0.0038
PF_coil_1,0.2237,3.51887e-11,0.0039
PF_coil_1,0.2352,3.54679e-11,0.004
PF_coil_1,0.2472,3.51134e-11,0.0041
PF_coil_1,0.2732,6.92061e-11,0.0032
PF_coil_1,0.2872,3.91254e-11,0.004
PF_coil_1,0.2945,1.65121e-11,0.006
PF_coil_1,0.2972,6.10677e-12,0.0096
PF_coil_1,0.2985,2.90994e-12,0.014
PF_coil_1,0.302,7.66557e-12,0.0086
PF_coil_1,0.3337,6.62973e-11,0.0034
PF_coil_1,0.3688,6.53281e-11,0.0035
PF_coil_1,0.3877,3.18185e-11,0.0047
PF_coil_1,0.4076,2.91414e-11,0.005
PF_coil_1,0.4505,5.80649e-11,0.0038
PF_coil_1,0.4979,6.16888e-11,0.0038
PF_coil_1,0.5234,1.3533e-10,0.0031
PF_coil_1,0.5502,1.91115e-11,0.0064
PF_coil_1,0.5784,1.91687e-11,0.0065
PF_coil_1,0.6081,1.85067e-11,0.0067
PF_coil_1,0.6393,2.0512e-11,0.0064
PF_coil_1,0.6721,2.18181e-11,0.0063
PF_coil_1,0.7065,1.78827e-11,0.007
PF_coil_1,0.7427,1.90151e-11,0.0069
PF_coil_1,0.7808,2.17324e-11,0.0065
PF_coil_1,0.8209,2.0713e-11,0.0068
PF_coil_1,0.8629,3.16979e-11,0.0056
PF_coil_1,0.9072,1.81107e-11,0.0074
PF_coil_1,0.9617,1.82951e-11,0.0074
PF_coil_1,1.003,1.57397e-11,0.008
PF_coil_1,1.108,2.73621e-11,0.0064
PF_coil_1,1.165,1.54973e-11,0.0083
PF_coil_1,1.225,1.46651e-11,0.0088
PF_coil_1,1.287,1.52022e-11,0.0087
PF_coil_1,1.353,1.61038e-11,0.0085
PF_coil_1,1.423,1.53582e-11,0.0089
PF_coil_1,1.496,1.61713e-11,0.0087
PF_coil_1,1.572,1.52407e-11,0.009
PF_coil_1,1.653,1.4972e-11,0.0092
PF_coil_1,1.738,1.61311e-11,0.009
PF_coil_1,1.827,1.65086e-11,0.009
PF_coil_1,1.921,1.61284e-11,0.0093
PF_coil_1,2.019,1.48746e-11,0.0096
PF_coil_1,2.122,1.41056e-11,0.01
PF_coil_1,2.231,1.53303e-11,0.0097
PF_coil_1,2.307,9.46737e-12,0.0124
PF_coil_1,2.346,4.56541e-12,0.0178
PF_coil_1,2.365,2.03252e-12,0.0266
PF_coil_1,2.385,2.3448e-12,0.0251
PF_coil_1,2.466,9.52748e-12,0.0126
PF_coil_1,2.592,1.50926e-11,0.01
PF_coil_1,2.725,1.43277e-11,0.0104
PF_coil_1,2.865,1.38769e-11,0.0106
PF_coil_1,3.012,1.40413e-11,0.0107
PF_coil_1,3.166,1.42437e-11,0.0107
PF_coil_1,3.329,1.46385e-11,0.0106
PF_coil_1,3.679,3.04123e-11,0.0075
PF_coil_1,4.066,3.0046e-11,0.0077
PF_coil_1,4.493,3.21994e-11,0.0075
PF_coil_1,4.724,1.45591e-11,0.0111
PF_coil_1,4.966,1.36775e-11,0.0114
PF_coil_1,5.22,1.6705e-11,0.0105
PF_coil_1,5.488,2.01036e-11,0.0096
PF_coil_1,5.77,1.91476e-11,0.0098
PF_coil_1,6.065,1.93308e-11,0.0098
PF_coil_1,6.376,1.2613e-11,0.012
PF_coil_1,6.592,1.2586e-11,0.012
PF_coil_1,6.703,1.27637e-11,0.0123
PF_coil_1,7.047,1.6672e-11,0.0104
PF_coil_1,7.408,3.64947e-11,0.0071
PF_coil_1,7.788,5.04603e-11,0.0061
PF_coil_1,8.187,3.93292e-11,0.0068
PF_coil_1,8.607,7.93431e-12,0.0151
PF_coil_1,9.048,1.29258e-11,0.0119
PF_coil_1,9.512,1.95105e-12,0.0314
PF_coil_1,10.0,2.21066e-12,0.0278
PF_coil_1,10.51,3.03109e-13,0.0787
PF_coil_1,11.05,3.55408e-14,0.2606
PF_coil_1,11.62,1.60067e-14,0.5593
PF_coil_1,12.21,3.73004e-15,0.6512
PF_coil_1,12.52,0.0,0.0
PF_coil_1,12.84,4.47395e-15,0.9637
PF_coil_1,13.5,0.0,0.0
PF_coil_1,13.84,0.0,0.0
PF_coil_1,14.19,1.4381e-17,1.0
PF_coil_1,14.55,0.0,0.0
PF_coil_1,14.92,0.0,0.0
PF_coil_1,15.68,4.31005e-15,1.0
