Cells,Value,Error
Blanket_outboard_t3_1,4.68846e-06,0.0001
Blanket_outboard_t3_2,4.54164e-06,0.0002
Blanket_outboard_t3_3,4.54028e-06,0.0002
Blanket_outboard_b2_1,5.45436e-06,0.0002
Blanket_outboard_b2_2,5.38096e-06,0.0002
Blanket_outboard_b2_3,5.38333e-06,0.0002
Blanket_outboard_m2_1,5.66199e-06,0.0001
Blanket_outboard_m2_2,5.65323e-06,0.0001
Blanket_outboard_m3_1,5.66369e-06,0.0001
Blanket_outboard_m3_2,5.65754e-06,0.0001
Blanket_outboard_t4,5.81223e-06,0.0002
Blanket_outboard_b1,6.09972e-06,0.0002
Blanket_t1_1,3.33842e-06,0.0003
Blanket_t1_2,3.33968e-06,0.0003
Blanket_outboard_t2_1,3.34047e-06,0.0002
Blanket_outboard_t2_2,3.53847e-06,0.0003
Blanket_outboard_t2_3,3.53809e-06,0.0003
Blanket_outboard_m1_1,4.16848e-06,0.0002
Blanket_outboard_m1_2,4.1674e-06,0.0002
Blanket_outboard_m4_1,4.43649e-06,0.0002
Blanket_outboard_m4_2,4.43534e-06,0.0002
Blanket_inboard_m_1,7.97719e-06,0.0002
Blanket_inboard_m_2,6.34034e-06,0.0002
Blanket_inboard_m_3,6.34337e-06,0.0002
Blanket_inboard_b1_1,4.91184e-06,0.0002
Blanket_inboard_b1_2,4.42493e-06,0.0003
Blanket_inboard_b1_3,4.42604e-06,0.0003
Blanket_inboard_t2_1,2.07019e-06,0.0004
Blanket_inboard_t2_2,2.1435e-06,0.0004
Blanket_inboard_t2_3,2.14324e-06,0.0004
Blanket_inboard_t4_1,5.30595e-06,0.0002
Blanket_inboard_t4_2,4.72935e-06,0.0003
Blanket_inboard_t4_3,4.72908e-06,0.0003
Blanket_inboard_t3_1,3.21298e-06,0.0003
Blanket_inboard_t3_2,3.11273e-06,0.0003
Blanket_inboard_t3_3,3.11244e-06,0.0003
Blanket_inboard_b2_1,3.2784e-06,0.0003
Blanket_inboard_b2_2,3.19182e-06,0.0004
Blanket_inboard_b2_3,3.19008e-06,0.0004
Blanket_t1_3,2.46647e-06,0.0006
