Cells,Energy,Value,Error
Blanket_outboard_m2_2,1e-07,0.0,0.0
Blanket_outboard_m2_2,4.14e-07,0.0,0.0
Blanket_outboard_m2_2,5.316e-07,0.0,0.0
Blanket_outboard_m2_2,6.826e-07,0.0,0.0
Blanket_outboard_m2_2,8.764e-07,0.0,0.0
Blanket_outboard_m2_2,1.125e-06,0.0,0.0
Blanket_outboard_m2_2,1.445e-06,0.0,0.0
Blanket_outboard_m2_2,1.855e-06,0.0,0.0
Blanket_outboard_m2_2,2.382e-06,0.0,0.0
Blanket_outboard_m2_2,3.059e-06,0.0,0.0
Blanket_outboard_m2_2,3.928e-06,0.0,0.0
Blanket_outboard_m2_2,5.043e-06,0.0,0.0
Blanket_outboard_m2_2,6.476e-06,0.0,0.0
Blanket_outboard_m2_2,8.315e-06,0.0,0.0
Blanket_outboard_m2_2,1.068e-05,0.0,0.0
Blanket_outboard_m2_2,1.371e-05,0.0,0.0
Blanket_outboard_m2_2,1.76e-05,0.0,0.0
Blanket_outboard_m2_2,2.26e-05,0.0,0.0
Blanket_outboard_m2_2,2.902e-05,0.0,0.0
Blanket_outboard_m2_2,3.727e-05,0.0,0.0
Blanket_outboard_m2_2,4.785e-05,0.0,0.0
Blanket_outboard_m2_2,6.144e-05,0.0,0.0
Blanket_outboard_m2_2,7.889e-05,0.0,0.0
Blanket_outboard_m2_2,0.0001013,0.0,0.0
Blanket_outboard_m2_2,0.0001301,0.0,0.0
Blanket_outboard_m2_2,0.000167,0.0,0.0
Blanket_outboard_m2_2,0.0002145,0.0,0.0
Blanket_outboard_m2_2,0.0002754,0.0,0.0
Blanket_outboard_m2_2,0.0003536,0.0,0.0
Blanket_outboard_m2_2,0.000454,0.0,0.0
Blanket_outboard_m2_2,0.0005829,0.0,0.0
Blanket_outboard_m2_2,0.0007485,0.0,0.0
Blanket_outboard_m2_2,0.0009611,0.0,0.0
Blanket_outboard_m2_2,0.001234,2.33233e-13,0.0005
Blanket_outboard_m2_2,0.001585,4.88974e-13,0.0004
Blanket_outboard_m2_2,0.002035,9.18962e-13,0.0004
Blanket_outboard_m2_2,0.002249,5.69226e-13,0.0007
Blanket_outboard_m2_2,0.002485,9.07469e-13,0.0006
Blanket_outboard_m2_2,0.002613,4.32868e-13,0.0009
Blanket_outboard_m2_2,0.002747,4.77911e-13,0.0009
Blanket_outboard_m2_2,0.003035,1.15004e-12,0.0007
Blanket_outboard_m2_2,0.003355,1.50108e-12,0.0007
Blanket_outboard_m2_2,0.003707,1.95168e-12,0.0007
Blanket_outboard_m2_2,0.004307,4.11586e-12,0.0006
Blanket_outboard_m2_2,0.005531,4.2106e-11,0.0003
Blanket_outboard_m2_2,0.007102,1.14749e-10,0.0002
Blanket_outboard_m2_2,0.009119,1.91069e-11,0.0003
Blanket_outboard_m2_2,0.01059,6.15313e-12,0.0006
Blanket_outboard_m2_2,0.01171,5.68045e-12,0.0007
Blanket_outboard_m2_2,0.01503,2.39339e-11,0.0005
Blanket_outboard_m2_2,0.0193,1.37307e-10,0.0003
Blanket_outboard_m2_2,0.02187,5.75235e-11,0.0005
Blanket_outboard_m2_2,0.02358,2.65113e-11,0.0008
Blanket_outboard_m2_2,0.02418,1.015e-11,0.0014
Blanket_outboard_m2_2,0.02479,1.08003e-11,0.0014
Blanket_outboard_m2_2,0.02606,2.41358e-11,0.001
Blanket_outboard_m2_2,0.027,1.94826e-11,0.0012
Blanket_outboard_m2_2,0.0285,3.34136e-11,0.001
Blanket_outboard_m2_2,0.03183,8.65691e-11,0.0007
Blanket_outboard_m2_2,0.03431,7.60623e-11,0.0008
Blanket_outboard_m2_2,0.04087,2.56912e-10,0.0006
Blanket_outboard_m2_2,0.04631,2.84749e-10,0.0007
Blanket_outboard_m2_2,0.05248,4.29187e-10,0.0006
Blanket_outboard_m2_2,0.05656,3.97167e-10,0.0008
Blanket_outboard_m2_2,0.06738,1.88759e-09,0.0004
Blanket_outboard_m2_2,0.07202,1.51171e-09,0.0005
Blanket_outboard_m2_2,0.0795,4.10968e-09,0.0004
Blanket_outboard_m2_2,0.0825,2.42574e-09,0.0005
Blanket_outboard_m2_2,0.08652,4.12274e-09,0.0004
Blanket_outboard_m2_2,0.09804,1.79859e-08,0.0003
Blanket_outboard_m2_2,0.1111,3.21639e-08,0.0002
Blanket_outboard_m2_2,0.1168,1.7791e-08,0.0003
Blanket_outboard_m2_2,0.1228,2.12802e-08,0.0003
Blanket_outboard_m2_2,0.1291,2.50133e-08,0.0003
Blanket_outboard_m2_2,0.1357,2.63709e-08,0.0003
Blanket_outboard_m2_2,0.1426,2.89441e-08,0.0003
Blanket_outboard_m2_2,0.15,3.20498e-08,0.0003
Blanket_outboard_m2_2,0.1576,3.3677e-08,0.0003
Blanket_outboard_m2_2,0.1657,3.62382e-08,0.0003
Blanket_outboard_m2_2,0.1742,3.87861e-08,0.0003
Blanket_outboard_m2_2,0.1832,4.12719e-08,0.0003
Blanket_outboard_m2_2,0.1925,4.17661e-08,0.0003
Blanket_outboard_m2_2,0.2024,4.37203e-08,0.0003
Blanket_outboard_m2_2,0.2128,4.46578e-08,0.0003
Blanket_outboard_m2_2,0.2237,4.49446e-08,0.0003
Blanket_outboard_m2_2,0.2352,4.51596e-08,0.0003
Blanket_outboard_m2_2,0.2472,4.45134e-08,0.0003
Blanket_outboard_m2_2,0.2732,8.68382e-08,0.0002
Blanket_outboard_m2_2,0.2872,4.19833e-08,0.0003
Blanket_outboard_m2_2,0.2945,2.07301e-08,0.0004
Blanket_outboard_m2_2,0.2972,7.56597e-09,0.0006
Blanket_outboard_m2_2,0.2985,3.59013e-09,0.0009
Blanket_outboard_m2_2,0.302,9.57271e-09,0.0006
Blanket_outboard_m2_2,0.3337,8.1502e-08,0.0002
Blanket_outboard_m2_2,0.3688,7.88965e-08,0.0002
Blanket_outboard_m2_2,0.3877,3.65534e-08,0.0003
Blanket_outboard_m2_2,0.4076,3.58604e-08,0.0003
Blanket_outboard_m2_2,0.4505,7.04033e-08,0.0003
Blanket_outboard_m2_2,0.4979,7.22127e-08,0.0003
Blanket_outboard_m2_2,0.5234,1.26354e-07,0.0002
Blanket_outboard_m2_2,0.5502,2.65587e-08,0.0004
Blanket_outboard_m2_2,0.5784,2.74095e-08,0.0004
Blanket_outboard_m2_2,0.6081,2.61146e-08,0.0004
Blanket_outboard_m2_2,0.6393,2.61197e-08,0.0004
Blanket_outboard_m2_2,0.6721,2.75828e-08,0.0004
Blanket_outboard_m2_2,0.7065,2.90059e-08,0.0004
Blanket_outboard_m2_2,0.7427,3.12891e-08,0.0004
Blanket_outboard_m2_2,0.7808,3.53274e-08,0.0004
Blanket_outboard_m2_2,0.8209,3.76287e-08,0.0004
Blanket_outboard_m2_2,0.8629,8.99954e-08,0.0003
Blanket_outboard_m2_2,0.9072,2.87869e-08,0.0004
Blanket_outboard_m2_2,0.9617,2.87296e-08,0.0004
Blanket_outboard_m2_2,1.003,1.98746e-08,0.0005
Blanket_outboard_m2_2,1.108,4.88495e-08,0.0004
Blanket_outboard_m2_2,1.165,2.78238e-08,0.0005
Blanket_outboard_m2_2,1.225,2.75145e-08,0.0005
Blanket_outboard_m2_2,1.287,2.97627e-08,0.0005
Blanket_outboard_m2_2,1.353,3.02037e-08,0.0005
Blanket_outboard_m2_2,1.423,2.63495e-08,0.0005
Blanket_outboard_m2_2,1.496,3.63599e-08,0.0004
Blanket_outboard_m2_2,1.572,1.93804e-08,0.0006
Blanket_outboard_m2_2,1.653,1.93163e-08,0.0006
Blanket_outboard_m2_2,1.738,2.16975e-08,0.0006
Blanket_outboard_m2_2,1.827,2.51572e-08,0.0005
Blanket_outboard_m2_2,1.921,1.98728e-08,0.0006
Blanket_outboard_m2_2,2.019,1.95446e-08,0.0006
Blanket_outboard_m2_2,2.122,2.0922e-08,0.0006
Blanket_outboard_m2_2,2.231,1.98455e-08,0.0006
Blanket_outboard_m2_2,2.307,1.3414e-08,0.0008
Blanket_outboard_m2_2,2.346,6.4794e-09,0.0011
Blanket_outboard_m2_2,2.365,2.89223e-09,0.0017
Blanket_outboard_m2_2,2.385,3.21397e-09,0.0016
Blanket_outboard_m2_2,2.466,1.30721e-08,0.0008
Blanket_outboard_m2_2,2.592,2.11801e-08,0.0006
Blanket_outboard_m2_2,2.725,2.01502e-08,0.0007
Blanket_outboard_m2_2,2.865,2.1027e-08,0.0006
Blanket_outboard_m2_2,3.012,2.08446e-08,0.0007
Blanket_outboard_m2_2,3.166,1.95323e-08,0.0007
Blanket_outboard_m2_2,3.329,2.00872e-08,0.0007
Blanket_outboard_m2_2,3.679,4.31131e-08,0.0005
Blanket_outboard_m2_2,4.066,3.91563e-08,0.0005
Blanket_outboard_m2_2,4.493,3.69287e-08,0.0005
Blanket_outboard_m2_2,4.724,1.67886e-08,0.0008
Blanket_outboard_m2_2,4.966,1.70746e-08,0.0008
Blanket_outboard_m2_2,5.22,1.62184e-08,0.0008
Blanket_outboard_m2_2,5.488,1.7142e-08,0.0008
Blanket_outboard_m2_2,5.77,2.12425e-08,0.0007
Blanket_outboard_m2_2,6.065,1.94575e-08,0.0007
Blanket_outboard_m2_2,6.376,1.47849e-08,0.0008
Blanket_outboard_m2_2,6.592,1.19006e-08,0.0009
Blanket_outboard_m2_2,6.703,3.50491e-09,0.0017
Blanket_outboard_m2_2,7.047,1.21673e-08,0.0009
Blanket_outboard_m2_2,7.408,2.15157e-08,0.0007
