User,Segments,Value,Error
0.0,1,471970000000000.0,0.0077
0.0,2,41880600000000.0,0.0001
0.0,3,480069000000000.0,0.0076
1.0,1,113676000000000.0,0.0425
1.0,2,10212300000000.0,0.0009
1.0,3,109248000000000.0,0.0353
total,3,589317000000000.0,0.009
