User,Segments,Value,Error
0.0,1,347998000000000.0,0.0075
0.0,2,31481200000000.0,0.0001
0.0,3,362598000000000.0,0.0074
1.0,1,44856000000000.0,0.0206
1.0,2,4142650000000.0,0.0003
1.0,3,44408100000000.0,0.0207
