Time,Value,Error
6.2767,0.0,0.0
6.31605,0.0,0.0
6.3554,0.0,0.0
6.39475,0.0,0.0
6.4341,0.0,0.0
6.47345,0.0,0.0
6.5128,0.0,0.0
6.55215,0.0,0.0
6.5915,0.0,0.0
6.63085,0.0,0.0
6.6702,3.587852604828402e-15,0.2507
6.70955,6.462337992376149e-12,0.0317
6.7489,9.28086404066079e-10,0.0035
6.78825,9.010470139771334e-09,0.002
6.8276,1.854528589580655e-08,0.0012
6.86695,1.2422185514612524e-08,0.0024
6.9063,6.641677255400292e-09,0.0046
6.94565,4.298551461245259e-09,0.0077
6.985,3.0966454891994397e-09,0.0103
7.02435,2.5382642947903578e-09,0.0091
7.0637,2.1262134688691355e-09,0.0076
7.10305,1.7724726810673547e-09,0.0105
7.1424,1.4576238881829488e-09,0.0158
7.18175,1.2178805590851405e-09,0.0095
7.2211,1.066325285895813e-09,0.0121
7.26045,9.106709021601069e-10,0.0132
7.2998,8.098856416772418e-10,0.0149
7.33915,7.461143583227488e-10,0.017
7.3785,6.598856416772592e-10,0.0181
7.41785,6.107878017789108e-10,0.0259
7.4572,5.629656925031671e-10,0.0252
7.49655,5.307827191867883e-10,0.0314
7.5359,5.393341804320235e-10,0.0346
7.57525,4.876213468869151e-10,0.0411
7.6146,5.214282083862681e-10,0.0415
7.81135,5.120864040660744e-10,0.0262
8.0081,5.489453621346869e-10,0.0373
8.20485,5.856111817026691e-10,0.0314
8.4016,5.726912325285903e-10,0.029
8.59835,5.000589580686156e-10,0.0273
8.7951,4.478312579415508e-10,0.025
8.99185,3.919176620076243e-10,0.0262
9.1886,3.68111817026684e-10,0.0279
9.38535,3.209529860228692e-10,0.023
9.5821,3.143344345616268e-10,0.0264
9.77885,2.94968233799238e-10,0.022
9.9756,2.8753748411689995e-10,0.0194
10.1723,3.0226131164209475e-10,0.0293
10.3691,2.9270884146341513e-10,0.0222
10.5659,2.8250457317073223e-10,0.0211
10.7626,2.877234367056407e-10,0.021
10.9593,2.9054143365531286e-10,0.0233
11.1561,2.9184400406504117e-10,0.0189
11.3529,2.90992378048781e-10,0.0201
11.5496,3.00105744789019e-10,0.0194
11.7463,3.118500254194206e-10,0.0212
11.9431,3.073704268292688e-10,0.0222
12.1399,3.0826524390243677e-10,0.0152
12.3366,3.1103457041179475e-10,0.0167
12.5333,3.240533807829184e-10,0.0229
12.7301,3.4118292682926893e-10,0.0215
12.9269,3.3803556910569163e-10,0.0154
13.1236,3.498429079816982e-10,0.0178
13.3204,3.6550304878048847e-10,0.0146
13.5171,3.7659989832231853e-10,0.0147
13.7138,4.016685307574954e-10,0.0188
13.9106,3.9803760162601696e-10,0.0161
14.1073,4.083141840366042e-10,0.0179
14.3041,4.110894308943097e-10,0.0172
14.5009,4.1804878048780564e-10,0.0123
14.6976,4.4674580579562813e-10,0.0155
14.8944,4.674923780487813e-10,0.0166
15.0911,4.747590238942512e-10,0.0167
15.2879,4.66337906504066e-10,0.0118
15.4846,4.812791052364009e-10,0.0128
15.6813,5.016858159633963e-10,0.013
15.8781,5.176930894308953e-10,0.0099
16.0749,5.622103658536596e-10,0.0129
16.2716,5.934265378749368e-10,0.0111
16.4683,6.052058973055418e-10,0.0088
16.6651,6.3236280487805e-10,0.012
16.8619,6.450000000000012e-10,0.0121
17.0586,6.412506354855113e-10,0.0107
17.2553,6.401525165226237e-10,0.0102
17.4521,6.59176829268282e-10,0.0114
17.6489,6.823831300813021e-10,0.0142
17.8456,6.945195729537371e-10,0.0085
18.0423,7.292628368073212e-10,0.0099
18.2391,7.47911585365855e-10,0.0094
18.4359,7.847154471544729e-10,0.0109
18.6326,7.974733096085414e-10,0.0082
18.8293,8.137468225724459e-10,0.0111
19.0261,8.106961382113835e-10,0.0089
19.2229,8.003556910569121e-10,0.0085
19.4196,7.886781901372655e-10,0.0091
19.6163,7.71637010676157e-10,0.0087
19.8131,7.667581300813022e-10,0.0111
20.0099,7.500406504065054e-10,0.0081
20.2066,7.527198779867688e-10,0.0099
20.4033,7.346110828673111e-10,0.0105
20.6001,7.173831300813022e-10,0.0082
20.7969,7.227997967479687e-10,0.0103
20.9936,6.981037112353843e-10,0.0081
21.1903,6.952516522623288e-10,0.0133
21.3871,6.8803861788618e-10,0.0108
21.5839,6.709502032520337e-10,0.0083
21.7806,6.757905439755979e-10,0.0097
21.9773,6.8914590747331e-10,0.0106
22.1741,6.984400406504078e-10,0.0097
22.3709,7.076880081300826e-10,0.0078
22.5676,7.039095068632439e-10,0.0086
22.7643,7.075800711743777e-10,0.0087
22.9611,7.155335365853672e-10,0.0105
23.1578,6.962785968479797e-10,0.0091
23.3546,6.75513211382115e-10,0.01
23.5513,6.430452465683786e-10,0.0086
23.7481,6.166310975609767e-10,0.0089
23.9449,5.854369918699198e-10,0.0092
24.1416,5.66298932384342e-10,0.0122
24.3383,5.245500762582617e-10,0.0107
24.5351,5.067347560975619e-10,0.0101
24.7318,4.752841891204883e-10,0.01
24.9286,4.5464634146341543e-10,0.0118
25.1254,4.406163617886187e-10,0.0122
25.3221,4.1532384341637035e-10,0.013
25.5189,3.7908130081300884e-10,0.0112
25.7156,3.613385866802239e-10,0.0134
25.9124,3.450193089430838e-10,0.0161
26.1091,3.061906456532793e-10,0.0141
26.3058,2.797112353838334e-10,0.0139
26.5026,2.6363516260162647e-10,0.0161
26.6993,2.454966954753433e-10,0.0219
26.8961,2.241285569105695e-10,0.0184
27.0929,2.0245274390243941e-10,0.0196
27.2896,1.9064311133706164e-10,0.0241
27.4863,1.8079969496695488e-10,0.0339
