Cells,Value,Error
100.0,0.00049546,0.0008
101.0,0.000271329,0.0007
102.0,0.000174622,0.0007
103.0,0.000116149,0.0009
104.0,7.84576e-05,0.0011
105.0,5.29868e-05,0.0013
106.0,3.6388e-05,0.0021
107.0,2.48874e-05,0.0018
108.0,1.7128e-05,0.0025
109.0,1.18207e-05,0.004
