Cells,Value,Error,Distance,Pellet
9.501,135.91618037283243,0.0015120097919576858,9.5,1
15.801,147.17170264818859,0.0015691991048839217,15.8,1
22.101,121.55829014486719,0.0016614072792847019,22.1,1
28.401,74.85718411313678,0.002258911687751619,28.4,1
9.502,125.76594709824288,0.001370272638952225,9.5,2
15.802,132.33134236582393,0.0014596700261371208,15.8,2
22.102,108.13957262411849,0.0017932326888148336,22.1,2
28.402,66.20180426201264,0.0023295438793799208,28.4,2
9.503,120.84491523357352,0.001238398109863874,9.5,3
15.803,125.069573974147,0.0014469034220763095,15.8,3
22.103,101.546233084754,0.0017588584487689648,22.1,3
28.403,62.0811119864734,0.0023498386300846463,28.4,3
9.504,118.02844514426721,0.0012799505077858537,9.5,4
15.804,121.33656780194302,0.0013831842675228532,15.8,4
22.104,98.06460244444982,0.001699115732482406,22.1,4
28.404,59.80496718532641,0.002241876360476768,28.4,4
9.505,116.90940540829041,0.001201523330399095,9.5,5
15.805,119.57736124812313,0.0012689378096986117,15.8,5
22.105,96.72061535135353,0.0015868522682005858,22.1,5
28.405,58.78878514434903,0.0021932302687677437,28.4,5
9.506,116.87148259318377,0.0011196271981194837,9.5,6
15.806,119.75392909142053,0.0014078595680942219,15.8,6
22.106,97.00791053320009,0.001364226244760451,22.1,6
28.406,58.9105662320731,0.002117155744322665,28.4,6
9.507,118.06556690647541,0.001062915324152173,9.5,7
15.807,121.65345788592575,0.0014788030538176963,15.8,7
22.107,99.08065261021048,0.0015632969235664716,22.1,7
28.407,59.891826306012135,0.0021931847190961172,28.4,7
9.508,120.11272993895513,0.0011864177304290089,9.5,08
15.808,125.65485746497102,0.0013431267650323875,15.8,08
22.108,102.8926622899708,0.0015270956300127288,22.1,08
28.408,62.168949760030706,0.0023609042077451987,28.4,08
9.509,123.50191452825743,0.001271699422900948,9.5,09
15.809,132.47143676012425,0.0015257077895462453,15.8,09
22.109,108.68031652583748,0.001514368735841992,22.1,09
28.409,65.68260738559646,0.0021718398577696358,28.4,09
9.51,129.85952990753583,0.0013062770531907762,9.5,10
15.81,143.11340701119678,0.0015839617071137682,15.8,10
22.11,118.34564508577027,0.0017361698014430689,22.1,10
28.41,72.07480245342703,0.0023317634133018833,28.4,10
9.511,140.52138441810555,0.0014355643173647311,9.5,11
15.811,160.18672221544224,0.00143732707845948,15.8,11
22.111,134.4570544219058,0.0018600136677736651,22.1,11
28.411,82.04094434547912,0.0022226573809548886,28.4,11
9.512,160.50119897346107,0.0014935124995638365,9.5,12
15.812,192.60229776497417,0.0015837058327598133,15.8,12
22.112,164.35040293810107,0.0019914804150092747,22.1,12
28.412,100.6786226120095,0.0022727418065740697,28.4,12
