Cells,Value,Error,Components
75,160101.0,0.0005,PS1
157,9834.99,0.0017,PS2 FJ Y+
158,9148.37,0.0018,PS2 FJ Y-
159,284822.0,0.0004,PS2 Y+
160,281137.0,0.0004,PS2 Y-
161,341969.0,0.0003,PS3 EQ Y+
162,339894.0,0.0004,PS3 EQ Y-
163,8225.57,0.0019,PS4 FJ Y+
164,8067.95,0.0019,PS4 FJ Y-
166,48438.8,0.0009,PS4 LOW Y+/-
167,79563.6,0.0007,PS4 UP Y+
168,75813.9,0.0007,PS4 UP Y-
68,205222.0,0.0004,TRIANG SUPPORT
116,3.19394,0.0757,HOOK
134,1.80659,0.1583,G SUPPORT
135,3.97928,0.0752,GUSSETS
125,20.8669,0.0356,SHIELD EVEN
126,8.12353,0.0515,SHIELD Y+
127,7.2391,0.0546,SHIELD Y-
Input 20,1252.45,0.005,UP Port ext and duct
Input 21,135.327,0.015,EQ Port ext and duct
