Cells,Value,Error,Components
4,335467.0,0.0004,BM01_C03
5,671555.0,0.0003,BM01_C02
6,335841.0,0.0004,BM01_C01
7,446046.0,0.0003,BM02_C03
8,891967.0,0.0002,BM02_C02
9,446152.0,0.0003,BM02_C01
10,511864.0,0.0003,BM03_C03
11,1024500.0,0.0002,BM03_C02
12,512262.0,0.0003,BM03_C01
13,509927.0,0.0003,BM04_C03
14,1020520.0,0.0002,BM04_C02
15,510520.0,0.0003,BM04_C01
16,425169.0,0.0003,BM05_C03
17,850681.0,0.0002,BM05_C02
18,425252.0,0.0003,BM05_C01
19,341283.0,0.0004,BM06_C03
20,682951.0,0.0003,BM06_C02
21,341452.0,0.0004,BM06_C01
22,1075990.0,0.0002,7-8-9_-20deg
23,2154870.0,0.0002,7-8-9_cen
24,1077670.0,0.0002,7-8-9_+20deg
25,984425.0,0.0002,BM10_1
26,983699.0,0.0002,BM10_2
27,457407.0,0.0003,BM11_C01
28,996689.0,0.0002,BM11_S02
29,920523.0,0.0002,BM11_C02
30,998475.0,0.0002,BM11_S01
31,458674.0,0.0003,BM11_C01_2
32,450594.0,0.0003,BM12_C03
33,907399.0,0.0002,BM12_S02
34,899121.0,0.0002,BM12_C02
35,907644.0,0.0002,BM12_S01
36,450149.0,0.0003,BM12_C01
37,613798.0,0.0003,BM13_C03
38,1049850.0,0.0002,BM13_S02
39,1244600.0,0.0002,BM13_C02
40,1039970.0,0.0002,BM13_S01
41,612706.0,0.0003,BM13_C01
42,1253810.0,0.0002,BM14_S02
43,1260870.0,0.0002,BM14_S01
44,1276080.0,0.0002,BM15_S02
45,1270870.0,0.0002,BM15_S01
46,697843.0,0.0003,BM16_C03
47,1240730.0,0.0002,BM16_S02
48,1379640.0,0.0002,BM16_C02
49,1231160.0,0.0002,BM16_S01
50,696136.0,0.0003,BM16_C01
51,575262.0,0.0003,BM17_C03
52,1151170.0,0.0002,BM17_S02
53,1148590.0,0.0002,BM17_C02
54,1151950.0,0.0002,BM17_S01
55,574160.0,0.0003,BM17_C01
56,533135.0,0.0003,BM18_C03
57,1026490.0,0.0002,BM18_S02
58,1054730.0,0.0002,BM18_C02
59,1053170.0,0.0002,BM18_S01
60,530287.0,0.0003,BM18_C01
