Cells,Value,Error,Components
Input 1,3.38673,0.0891,PF1
Input 2,14.7257,0.046,PF2
Input 3,5.6407,0.0753,PF3
Input 4,6.76679,0.0684,PF4
Input 5,8.01393,0.0662,PF5
Input 6,5.75925,0.0738,PF6
Input 7,1.52151,0.1295,PF3-4 SUPP
