Cells,Value,Error,Components
Input 1,1195.82,0.0055,IB STR
Input 2,189.142,0.0138,IB TOP
Input 3,279.668,0.0107,OB TOP
Input 4,92.7336,0.0185,OB EQ
Input 5,126.596,0.0147,OB BOT
Input 6,88.724,0.0184,IB BOT
Input 7,12.4158,0.0502,G SUPP
