Segments,User,Value,Error,BLK n.
2,0.0,28869800000000.0,0.0007,1
2,1.0,6922050000000.0,0.0013,1
3,0.0,38887300000000.0,0.0005,2
3,1.0,7491560000000.0,0.0011,2
4,0.0,46272000000000.0,0.0005,3
4,1.0,8056140000000.0,0.001,3
5,0.0,46085800000000.0,0.0005,4
5,1.0,7959870000000.0,0.0009,4
6,0.0,38326600000000.0,0.0005,5
6,1.0,7244900000000.0,0.0011,5
7,0.0,28289600000000.0,0.0007,6
7,1.0,6433380000000.0,0.0011,6
2,0.0,22167400000000.0,0.0008,7
2,1.0,6077960000000.0,0.0015,7
2,0.0,21259600000000.0,0.0003,8
2,1.0,6503540000000.0,0.0013,8
2,0.0,22896900000000.0,0.0002,9
2,1.0,6899730000000.0,0.0014,9
2,0.0,27360700000000.0,0.0001,10
2,1.0,7365640000000.0,0.0011,10
2,0.0,33050100000000.0,0.0001,11
2,1.0,8639710000000.0,0.0009,11
2,0.0,37286700000000.0,0.0001,12
2,1.0,9504630000000.0,0.0009,12
2,0.0,40262300000000.0,0.0001,13
2,1.0,9974710000000.0,0.0009,13
2,0.0,43123400000000.0,0.0001,14
2,1.0,9554130000000.0,0.0008,14
2,0.0,43785600000000.0,0.0001,15
2,1.0,9708670000000.0,0.0008,15
2,0.0,41880600000000.0,0.0001,16
2,1.0,10212300000000.0,0.0009,16
2,0.0,38066300000000.0,0.0001,17
2,1.0,9555310000000.0,0.0009,17
2,0.0,32048300000000.0,0.0001,18
2,1.0,8511430000000.0,0.0009,18
