Energy,Value,Error,Offset
6.0,0.30460265426091443,0.0013,on-axis
7.0,36.68572857633293,0.0013,on-axis
8.0,33.846123455841244,0.0014,on-axis
9.0,32.2717951597811,0.0014,on-axis
10.0,31.944319738624902,0.0015,on-axis
11.0,33.35918583437321,0.0015,on-axis
12.0,33.953605864117165,0.0016,on-axis
13.0,35.61098921872675,0.0017,on-axis
14.0,38.31085802902263,0.0018,on-axis
15.0,41.507041789695734,0.0019,on-axis
16.0,44.15641929453806,0.0021,on-axis
17.0,47.13348989874224,0.0023,on-axis
18.0,50.72411575517936,0.0024,on-axis
19.0,54.21158940918971,0.0025,on-axis
20.0,58.54020561270086,0.0027,on-axis
21.0,62.80569151927227,0.0028,on-axis
22.0,66.64120718125243,0.0029,on-axis
23.0,70.49731706378138,0.003,on-axis
24.0,74.54719793229184,0.0031,on-axis
25.0,79.40547829899948,0.0032,on-axis
26.0,83.24886870974281,0.0032,on-axis
27.0,87.63543341497193,0.0033,on-axis
28.0,91.17362632621254,0.0033,on-axis
29.0,96.06706211481124,0.0034,on-axis
30.0,99.80516621683486,0.0034,on-axis
31.0,103.32809720534345,0.0035,on-axis
32.0,107.72063679944333,0.0036,on-axis
33.0,112.09178021094581,0.0036,on-axis
34.0,115.67059466379585,0.0037,on-axis
35.0,119.11498431541679,0.0037,on-axis
36.0,123.65500740776294,0.0038,on-axis
37.0,126.93394928298787,0.0039,on-axis
38.0,130.25453038957238,0.004,on-axis
39.0,132.47567135328146,0.0041,on-axis
40.0,135.86089293885172,0.0042,on-axis
41.0,139.3914875310579,0.0043,on-axis
42.0,143.46976242201225,0.0044,on-axis
43.0,146.34369771155653,0.0045,on-axis
44.0,152.86575236815543,0.0046,on-axis
46.0,158.9745735895,0.0037,on-axis
48.0,171.21865645431672,0.0039,on-axis
50.0,180.13965477241038,0.004,on-axis
52.0,185.906869451964,0.0043,on-axis
54.0,184.89478955168275,0.0046,on-axis
56.0,177.89026887755054,0.005,on-axis
58.0,156.8709877430154,0.0055,on-axis
60.0,159.21542623289108,0.0051,on-axis
62.0,173.64259730027538,0.0047,on-axis
64.0,1013.4021773492465,0.0031,on-axis
66.0,2998.8341219870667,0.002,on-axis
68.0,914.9410014359579,0.0037,on-axis
70.0,25.355966021321965,0.0227,on-axis
