Energy,Value,Error,Offset
6.0,0.05190789843502261,0.0015,on-axis
7.0,7.1090182750281965,0.0015,on-axis
8.0,6.468553821113781,0.0016,on-axis
9.0,6.458247537609412,0.0016,on-axis
10.0,6.610436515534122,0.0017,on-axis
11.0,6.864397919961871,0.0017,on-axis
12.0,6.455466163544856,0.0018,on-axis
13.0,6.941919084825118,0.0018,on-axis
14.0,7.206390682128239,0.0018,on-axis
15.0,7.434449225627739,0.0018,on-axis
16.0,7.752455296170882,0.0018,on-axis
17.0,8.387862633431668,0.0019,on-axis
18.0,8.775960813129009,0.0019,on-axis
19.0,9.13264984585884,0.0019,on-axis
20.0,9.38278591278807,0.0019,on-axis
21.0,9.739872945492731,0.002,on-axis
22.0,10.08340159817489,0.002,on-axis
23.0,10.340129916503747,0.002,on-axis
24.0,10.62878520347267,0.002,on-axis
25.0,11.12348882842291,0.002,on-axis
26.0,11.725054519094746,0.002,on-axis
27.0,12.303655660095037,0.002,on-axis
28.0,13.136814629928997,0.002,on-axis
29.0,13.98126381790942,0.0021,on-axis
30.0,14.579539152910035,0.0021,on-axis
31.0,14.964368750902631,0.0022,on-axis
32.0,15.639696313847582,0.0022,on-axis
33.0,16.2908345445028,0.0022,on-axis
34.0,17.03328401440215,0.0022,on-axis
35.0,17.680529471716362,0.0023,on-axis
36.0,18.40879858348331,0.0023,on-axis
37.0,18.969651799061396,0.0023,on-axis
38.0,19.629824127067245,0.0024,on-axis
39.0,20.27465402664759,0.0024,on-axis
40.0,20.95876547958918,0.0025,on-axis
41.0,21.734030695855488,0.0026,on-axis
42.0,22.415638295359923,0.0026,on-axis
43.0,23.164576188001,0.0027,on-axis
44.0,24.226823483478963,0.0028,on-axis
46.0,25.357599672315015,0.0024,on-axis
48.0,27.246252482209567,0.0025,on-axis
50.0,28.908925540481466,0.0027,on-axis
52.0,30.28374306601891,0.0029,on-axis
54.0,31.264434175990075,0.0031,on-axis
56.0,33.360698160691896,0.0032,on-axis
58.0,35.975848351949,0.003,on-axis
60.0,32.799973601138994,0.0032,on-axis
62.0,40.353374494974,0.0031,on-axis
64.0,197.30478200812544,0.0024,on-axis
66.0,404.27784978132325,0.002,on-axis
68.0,105.01235620335684,0.0039,on-axis
70.0,3.063278552719531,0.0232,on-axis
