Energy,Value,Error,Offset
5 - 10,18.383730403431606,0.008729334257560279,on-axis
10 - 20,49.811046631228834,0.007855716064991271,on-axis
20 - 30,68.40481275489776,0.009077445442480346,on-axis
30 - 40,78.4037752684847,0.010443122420037802,on-axis
40 - 50,119.69146608540007,0.009065203295551622,on-axis
5 - 10,1.8684393706644766,0.026830199670390527,20 cm
10 - 20,4.58670348238136,0.02564426227256459,20 cm
20 - 30,5.371877087528401,0.03153771995876678,20 cm
30 - 40,6.227453526172955,0.03637277828203976,20 cm
40 - 50,4.841437440192794,0.04512734345529515,20 cm
