Cells,Energy,Value,Error
291.97,0.1,12582.4,0.0121
291.97,1.0,731067.0,0.0101
291.97,5.0,346062.0,0.0107
291.97,10.0,115720.0,0.0126
291.97,20.0,126.221,0.2439
296.44,0.1,15444.5,0.0113
296.44,1.0,898522.0,0.0096
296.44,5.0,424916.0,0.0101
296.44,10.0,144732.0,0.0117
296.44,20.0,122.03,0.2136
300.91,0.1,21759.5,0.0116
300.91,1.0,1262290.0,0.0093
300.91,5.0,600682.0,0.0097
300.91,10.0,202965.0,0.0116
300.91,20.0,279.171,0.2136
305.38,0.1,32832.4,0.0105
305.38,1.0,1897740.0,0.0089
305.38,5.0,903333.0,0.0092
305.38,10.0,305888.0,0.0108
305.38,20.0,481.541,0.1537
309.85,0.1,51206.2,0.0107
309.85,1.0,2930010.0,0.0086
309.85,5.0,1397130.0,0.009
309.85,10.0,472559.0,0.0106
309.85,20.0,698.64,0.199
314.32,0.1,79238.7,0.0097
314.32,1.0,4529590.0,0.0083
314.32,5.0,2153980.0,0.0086
314.32,10.0,727595.0,0.0099
314.32,20.0,1059.69,0.1524
318.79,0.1,121677.0,0.0099
318.79,1.0,6992580.0,0.008
318.79,5.0,3305220.0,0.0084
318.79,10.0,1119580.0,0.0097
318.79,20.0,1580.92,0.1688
323.26,0.1,186675.0,0.0091
323.26,1.0,10690000.0,0.0078
323.26,5.0,5070400.0,0.008
323.26,10.0,1710050.0,0.0092
323.26,20.0,2040.97,0.1362
327.73,0.1,280031.0,0.0093
327.73,1.0,16201500.0,0.0076
327.73,5.0,7678640.0,0.0079
327.73,10.0,2570850.0,0.0092
327.73,20.0,3928.66,0.1365
332.2,0.1,422808.0,0.0085
332.2,1.0,24401900.0,0.0073
332.2,5.0,11538400.0,0.0076
332.2,10.0,3813070.0,0.0087
332.2,20.0,5374.82,0.1347
336.67,0.1,621426.0,0.0088
336.67,1.0,36017200.0,0.0072
336.67,5.0,17116500.0,0.0075
336.67,10.0,5561370.0,0.0087
336.67,20.0,8818.44,0.1332
341.14,0.1,906826.0,0.0081
341.14,1.0,52444500.0,0.007
341.14,5.0,24925900.0,0.0072
341.14,10.0,7990330.0,0.0083
341.14,20.0,12333.9,0.13
345.61,0.1,1299110.0,0.0083
345.61,1.0,75859700.0,0.0069
345.61,5.0,36011100.0,0.0072
