Cells,Value,Error
2.0,1.84089e-10,0.0066
3.0,2.34479e-10,0.0062
4.0,3.48793e-10,0.0058
5.0,5.57019e-10,0.0055
6.0,9.08827e-10,0.0051
7.0,1.49625e-09,0.0049
8.0,2.46666e-09,0.0046
9.0,4.05802e-09,0.0044
10.0,6.67037e-09,0.0042
11.0,1.08924e-08,0.004
12.0,1.77522e-08,0.0039
13.0,2.88354e-08,0.0037
14.0,4.65587e-08,0.0036
15.0,7.49632e-08,0.0035
16.0,1.20102e-07,0.0033
17.0,1.91499e-07,0.0032
18.0,3.04273e-07,0.0031
19.0,4.81102e-07,0.0031
20.0,7.5865e-07,0.003
21.0,1.19774e-06,0.0029
22.0,1.36004e-05,0.0028
24.0,7.75129e-06,0.0024
25.0,2.4035e-06,0.003
26.0,1.36314e-05,0.0024
27.0,2.88142e-05,0.0021
28.0,6.57098e-05,0.0018
29.0,0.000157855,0.0015
30.0,0.000412799,0.0013
31.0,0.000258517,0.0015
33.0,0.000399328,0.0012
34.0,0.0288417,0.001
35.0,0.00116533,0.001
36.0,0.0729973,0.0008
37.0,0.0036647,0.0008
38.0,0.255475,0.0006
39.0,0.0123343,0.0006
40.0,0.720246,0.0005
41.0,0.037679,0.0005
42.0,1.89367,0.0004
43.0,0.0936121,0.0004
44.0,3.42474,0.0004
45.0,0.162916,0.0004
46.0,5.54156,0.0003
47.0,0.299647,0.0004
48.0,0.282455,0.0004
49.0,4.12693,0.0003
53.0,5.97387,0.0002
54.0,0.434518,0.0002
55.0,0.462668,0.0002
56.0,8.45615,0.0001
57.0,0.258599,0.0002
58.0,5.33011,0.0002
59.0,0.149467,0.0002
60.0,2.94552,0.0002
61.0,0.0592979,0.0002
62.0,1.10306,0.0002
63.0,0.0188844,0.0003
64.0,0.383705,0.0003
65.0,0.0054497,0.0004
66.0,0.107154,0.0004
67.0,0.00168957,0.0005
68.0,0.0415138,0.0005
69.0,0.000564177,0.0006
71.0,0.000347234,0.0008
72.0,0.000619374,0.0006
73.0,0.000287361,0.0007
74.0,0.000141732,0.0008
75.0,7.23866e-05,0.001
76.0,3.79376e-05,0.0011
77.0,2.02298e-05,0.0013
78.0,1.09149e-05,0.0014
79.0,5.93809e-06,0.0016
80.0,3.27979e-06,0.0018
81.0,1.90328e-06,0.002
82.0,3.70263e-07,0.0027
83.0,1.1055e-06,0.0023
85.0,1.94442e-06,0.0025
86.0,1.73203e-07,0.0026
87.0,1.09709e-07,0.0027
88.0,6.92175e-08,0.0028
89.0,4.35214e-08,0.0029
90.0,2.72804e-08,0.003
91.0,1.6993e-08,0.0031
92.0,1.05215e-08,0.0033
93.0,6.48957e-09,0.0034
94.0,3.98397e-09,0.0036
95.0,2.42857e-09,0.0038
96.0,1.47941e-09,0.0039
97.0,8.97744e-10,0.0041
98.0,5.43289e-10,0.0044
99.0,3.27125e-10,0.0046
100.0,1.96372e-10,0.0049
101.0,1.17109e-10,0.0052
102.0,6.9586e-11,0.0056
103.0,4.06876e-11,0.0059
104.0,2.28032e-11,0.0064
105.0,1.09515e-11,0.0072
