Tally N.,Tally Description,Energy,Value,Error
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1e-07,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,4.14e-07,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,5.316e-07,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,6.826e-07,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,8.764e-07,3.83698e-13,1.0
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.125e-06,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.445e-06,4.64852e-13,0.54
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.855e-06,4.50009e-13,0.5009
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,2.382e-06,2.10017e-12,0.3249
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,3.059e-06,4.08525e-12,0.2801
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,3.928e-06,8.04631e-12,0.22
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,5.043e-06,1.28459e-11,0.1416
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,6.476e-06,3.0892e-11,0.0997
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,8.315e-06,4.59815e-11,0.0715
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.068e-05,1.01888e-10,0.059
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.371e-05,1.51635e-10,0.0439
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.76e-05,2.20829e-10,0.0346
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,2.26e-05,2.41291e-10,0.037
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,2.902e-05,6.81704e-11,0.0607
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,3.727e-05,3.41757e-10,0.031
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,4.785e-05,7.34565e-10,0.0198
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,6.144e-05,6.66083e-10,0.0203
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,7.889e-05,3.58978e-10,0.0261
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0001013,1.50874e-11,0.1884
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0001301,1.23564e-10,0.0725
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.000167,7.34125e-10,0.0196
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0002145,1.05043e-09,0.0201
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0002754,4.49989e-09,0.0099
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0003536,6.75214e-09,0.0077
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.000454,1.02134e-08,0.0052
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0005829,7.03005e-09,0.0062
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0007485,1.02602e-08,0.0059
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0009611,1.51204e-08,0.0048
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.001234,2.12157e-08,0.0034
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.001585,3.46583e-08,0.0027
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002035,5.29556e-08,0.0022
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002249,2.79854e-08,0.003
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002485,3.27925e-08,0.0028
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002613,1.87435e-08,0.004
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002747,2.03318e-08,0.0037
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.003035,4.6706e-08,0.0023
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.003355,5.83876e-08,0.002
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.003707,6.473e-08,0.0019
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.004307,9.71443e-09,0.0062
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.005531,2.77915e-08,0.0037
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.007102,5.4311e-08,0.0025
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.009119,1.06331e-07,0.0018
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.01059,1.03301e-07,0.0018
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.01171,9.04613e-08,0.0019
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.01503,3.11664e-07,0.001
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0193,4.59362e-07,0.0009
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02187,2.89097e-07,0.0011
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02358,1.94033e-07,0.0014
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02418,6.8331e-08,0.0023
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02479,6.95555e-08,0.0023
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02606,1.46349e-07,0.0016
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.027,1.09406e-07,0.0019
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0285,1.77549e-07,0.0015
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.03183,4.08631e-07,0.0012
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.03431,3.09434e-07,0.0011
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.04087,8.26091e-07,0.0007
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.04631,6.98152e-07,0.0008
