Time,Value,Error,abs_error
D1.0,6.77365,0.0162,0.10973313
D2.0,2.40692e-33,0.0162,3.8992104e-35
D3.0,0.0,0.0,0.0
D4.0,0.0,0.0,0.0
D5.0,0.0,0.0,0.0
D6.0,0.0,0.0,0.0
