Time,Value,Error,abs_error
D1.0,0.101721,0.0139,0.0014139219
D2.0,0.101427,0.0139,0.0014098353
D3.0,0.0992072,0.0139,0.0013789800799999998
D4.0,0.0761445,0.0139,0.00105840855
D5.0,0.0480186,0.0139,0.00066745854
D6.0,2.45093e-41,0.0139,3.4067926999999995e-43
